part_number,component,quantity,basis,source
01 Tapered printed housing,01 Tapered printed housing,1,designed concept,
02 Single rear cover,02 Single rear cover,1,designed concept,
Chamber / sealed L cartridge concept,Chamber / sealed L cartridge concept,1,Designed concept; nominal 2 mm walls; seal geometry and pressure qualification deferred,
USB — removable metal faceplate — local 1.80 mm seat,USB — removable metal faceplate — local 1.80 mm seat,1,"Designed metal faceplate reference: 2.3 mm bulk, locally 1.80 mm; material/process and sealing unqualified; not a printed-wall exception",https://gct.co/files/drawings/usb4720.pdf
03 Guition factory casing — measured envelope,03 Guition factory casing — measured envelope,1,"Owner measured 116.8x69.3x13.7; casing retained, factory back removed; interior drawing-derived",
04 Guition front glass — drawing reference,04 Guition front glass — drawing reference,1,designed concept,
05 Active 4.3 inch screen,05 Active 4.3 inch screen,1,designed concept,
06 Guition PCB and connectors — illustrative detail,06 Guition PCB and connectors — illustrative detail,1,Drawing-derived visual reconstruction; connector positions and factory mounting holes require confirmation,
GEN-M3-HEATSET-OD4.2-L5,M3 insert OD4.2 x 5 — GEN-M3-HEATSET-OD4.2-L5,4,nominal generic hardware; not supplier-authenticated CAD,
GEN-M3-BHCS-L8-AF2,M3 x 8 button screw — GEN-M3-BHCS-L8-AF2,4,nominal generic hardware; not supplier-authenticated CAD,
Carrier / future PCB allocation — layout pending,Carrier / future PCB allocation — layout pending,1,Space allocation only; no claim that the charging and sensor circuitry is routed or fitted,
GEN-M2-SHCS-L7-AF1.5,M2 x 7 socket_cap screw — GEN-M2-SHCS-L7-AF1.5,3,nominal generic hardware; not supplier-authenticated CAD,
GEN-M2-HEATSET-OD3.2-L4,M2 insert OD3.2 x 4 — GEN-M2-HEATSET-OD3.2-L4,18,nominal generic hardware; not supplier-authenticated CAD,
Display / lower removable retainer concept,Display / lower removable retainer concept,1,"Rear-release concept. Factory frame capture lip, pad contact and preload require measurement; not a validated display fastening detail",
Display / upper removable retainer concept,Display / upper removable retainer concept,1,"Rear-release concept. Factory frame capture lip, pad contact and preload require measurement; not a validated display fastening detail",
GEN-M2-SHCS-L5-AF1.5,M2 x 5 socket_cap screw — GEN-M2-SHCS-L5-AF1.5,11,nominal generic hardware; not supplier-authenticated CAD,
Battery / FMA protected holder - owner-measured envelope,Battery / FMA protected holder - owner-measured envelope,1,Owner-measured occupied FMA FPML1S2P050C envelope 42 W x 80.4 H x 20.35 D mm; pocket and local frame details provisional,
Battery / 18650 cell A - owner-rated 3400 mAh,Battery / 18650 cell A - owner-rated 3400 mAh,1,"Owner capacity 3400 mAh; 18.2 mm diameter x 69 mm cylinder is a dimensional visual reference, not measured cell CAD",
Battery / 18650 cell B - owner-rated 3400 mAh,Battery / 18650 cell B - owner-rated 3400 mAh,1,"Owner capacity 3400 mAh; 18.2 mm diameter x 69 mm cylinder is a dimensional visual reference, not measured cell CAD",
Battery / red RCY disconnect body - provisional reference,Battery / red RCY disconnect body - provisional reference,1,"RCY/BEC-style red two-wire battery disconnect retained by owner; provisional 12 x 10 x 4 mm reference body, not selected manufacturer CAD",
Battery / red RCY disconnect mate - provisional reference,Battery / red RCY disconnect mate - provisional reference,1,"RCY/BEC-style red disconnect mating reference; provisional 12 x 10 x 2.2 mm, not selected manufacturer CAD",
