part_id,item,quantity,mesh_file,orientation,supports,pla_project,petg_project,review_notes,status
TMX-A3-P01,Main housing,1,printing/oriented-stl/TMX-A3-P01.stl,"Front face down, rear opening up",accessible supports,printing/bambu-studio/pla/TMX-A3-P01/TMX-A3-P01_pla.3mf,printing/bambu-studio/petg/TMX-A3-P01/TMX-A3-P01_petg.3mf,"Supports under internal rails, fixed floors and brackets must be removable through the front/rear openings before assembly. Inspect horizontal button/port and USB opening roofs. Cosmetic front is on the plate.",Final digital print review accepted; physical coupon tests pending
TMX-A3-P02,Single rear cover,1,printing/oriented-stl/TMX-A3-P02.stl,Outside rear face down,accessible supports,printing/bambu-studio/pla/TMX-A3-P02/TMX-A3-P02_pla.3mf,printing/bambu-studio/petg/TMX-A3-P02/TMX-A3-P02_petg.3mf,Recessed screw pockets and rounded edge may need local support; integral capture pads grow upward. Check supported surfaces and flatness.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P03,Electronics carrier,1,printing/oriented-stl/TMX-A3-P03.stl,Broad front face down,no supports,printing/bambu-studio/pla/TMX-A3-P03/TMX-A3-P03_pla.3mf,printing/bambu-studio/petg/TMX-A3-P03/TMX-A3-P03_petg.3mf,"Flat plate. Check holes, first-layer expansion and flatness.",Final digital print review accepted; physical coupon tests pending
TMX-A3-P04,Lower display retainer,1,printing/oriented-stl/TMX-A3-P04.stl,Broad rear plate face down,accessible supports,printing/bambu-studio/pla/TMX-A3-P04/TMX-A3-P04_pla.3mf,printing/bambu-studio/petg/TMX-A3-P04/TMX-A3-P04_petg.3mf,Broad plate down; frame-contact feet upward. Remove brim/support without changing measured contact faces.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P05,Upper display retainer,1,printing/oriented-stl/TMX-A3-P05.stl,Broad rear plate face down,accessible supports,printing/bambu-studio/pla/TMX-A3-P05/TMX-A3-P05_pla.3mf,printing/bambu-studio/petg/TMX-A3-P05/TMX-A3-P05_petg.3mf,Broad plate down; frame-contact feet upward. Verify insert fit and repeated screw service.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P06,USB support frame,1,printing/oriented-stl/TMX-A3-P06.stl,Floor down,accessible supports,printing/bambu-studio/pla/TMX-A3-P06/TMX-A3-P06_pla.3mf,printing/bambu-studio/petg/TMX-A3-P06/TMX-A3-P06_petg.3mf,Floor down. Opening and PCB ledges may use removable support. Check insert pilots and board seating.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P07,Sampling manifold,1,printing/oriented-stl/TMX-A3-P07.stl,"Front floor down, lid opening up",accessible supports,printing/bambu-studio/pla/TMX-A3-P07/TMX-A3-P07_pla.3mf,printing/bambu-studio/petg/TMX-A3-P07/TMX-A3-P07_petg.3mf,Revised teardrop inlet/exhaust roofs and lid-open return. Three editable support-blocker boxes exclude gas passages while accessible exterior supports remain enabled. Actual G-code must contain no support in the protected boxes.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P08,Sampling chamber lid,1,printing/oriented-stl/TMX-A3-P08.stl,Outside lid face down,no supports,printing/bambu-studio/pla/TMX-A3-P08/TMX-A3-P08_pla.3mf,printing/bambu-studio/petg/TMX-A3-P08/TMX-A3-P08_petg.3mf,Flat outer lid face down. Inspect slender rear sensor stops and sealing-face finish.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P09,Printed USB bezel and hidden flange,1,printing/oriented-stl/TMX-A3-P09.stl,"USB axis vertical, hidden rear flange down",accessible supports,printing/bambu-studio/pla/TMX-A3-P09/TMX-A3-P09_pla.3mf,printing/bambu-studio/petg/TMX-A3-P09/TMX-A3-P09_petg.3mf,"Revised PETG bezel. Hidden rear flange down removes3mm exterior flange cantilever. Accessible support inside the short open USB throat supports the internal ledge. Remove through the open mouth before receptacle fit; local1.8mm panel exception, gasket and insertion loads remain unqualified.",Final digital print review accepted; physical coupon tests pending
TMX-A3-P10,Printed USB retaining bridge,1,printing/oriented-stl/TMX-A3-P10.stl,Broad rear face down,accessible supports,printing/bambu-studio/pla/TMX-A3-P10/TMX-A3-P10_pla.3mf,printing/bambu-studio/petg/TMX-A3-P10/TMX-A3-P10_petg.3mf,Revised PETG concealed retaining bridge with2mm capture lip. Broad rear face down; accessible support may be required beneath capture features. Verify the actual PCB and insertion load physically.,Final digital print review accepted; physical coupon tests pending
TMX-A3-P11,AO2 threaded adapter,1,printing/oriented-stl/TMX-A3-P11.stl,Thread axis vertical,no supports,printing/bambu-studio/pla/TMX-A3-P11/TMX-A3-P11_pla.3mf,printing/bambu-studio/petg/TMX-A3-P11/TMX-A3-P11_petg.3mf,"Native modeled M16x1-6H thread, vertical print axis; nominal ISO geometry without whole-part scaling. Purchased sensor hand-tight fit and seal remain physical coupon gates.",Final digital print review accepted; physical coupon tests pending
