part_id,item,quantity,unit,category,specification,status,included_parts,source,procurement_scope
TMX-A3-P01,Main housing,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P02,Single rear cover,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P03,Electronics carrier,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P04,Lower display retainer,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P05,Upper display retainer,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P06,USB support frame,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P07,Sampling manifold,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P08,Sampling chamber lid,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P09,Printed USB bezel and hidden flange,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P10,Printed USB retaining bridge,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-P11,AO2 threaded adapter,1,piece,printed,Native revised CAD and matching print export,ID and quantity match revised native metadata; print release and physical fit checks apply,,Revised Fusion model,Enclosure fit prototype
TMX-A3-C01,Guition display assembly,1,piece,purchased,JC4880P443C_I_W / JC-ESP32P4-M3,Owner-measured envelope; revision and frame details need confirmation,03 Guition factory casing — measured envelope; 04 Guition front glass — drawing reference; 05 Active 4.3 inch screen; 06 Guition PCB and connectors — illustrative detail,,Enclosure fit prototype
TMX-A3-C02,Protected two-cell holder,1,piece,purchased,FMA FPML1S2P050C,Owner-measured occupied envelope; local protection PCB and wire exit need confirmation,Battery / FMA protected holder - owner-measured envelope,,Enclosure fit prototype
TMX-A3-C03,18650 cell,2,piece,purchased,Exact manufacturer/model pending; owner rates each 3400 mAh,"Confirm identity, dimensions and cell limits before electrical use",Battery / 18650 cell A - owner-rated 3400 mAh; Battery / 18650 cell B - owner-rated 3400 mAh,,Enclosure fit prototype
TMX-A3-C04,Momentary illuminated 1NO button,1,piece,purchased,"12 mm nominal, green, 3-6 V illumination; exact SKU pending","Body, nut and cap form one purchased assembly; measure terminals and panel fit",Controls / left 1NO button body; Controls / left momentary power cap; Controls / button retaining nut reference,,Enclosure fit prototype
