layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,927,112,0,0.0,94.812
2,0.4,428,67,0,0.0,103.938
3,0.6,447,84,0,0.0,104.25
4,0.8,424,62,0,0.0,103.562
5,1.0,364,0,0,0.0,60.062
6,1.2,771,0,0,0.0,128.188
7,1.4,890,0,0,0.0,131.688
8,1.6,918,0,0,0.0,131.625
9,1.8,902,0,0,0.0,131.562
10,2.0,890,0,0,0.0,131.688
11,2.2,828,0,0,0.0,111.25
12,2.4,812,0,0,0.0,109.438
13,2.6,802,0,0,0.0,109.0
14,2.8,809,0,0,0.0,109.312
15,3.0,813,0,0,0.0,113.25
16,3.2,738,0,0,0.0,118.812
17,3.4,873,0,0,0.0,131.062
18,3.6,899,0,0,0.0,131.125
19,3.8,896,0,0,0.0,131.25
20,4.0,808,0,0,0.0,131.75
21,4.2,1059,0,0,0.0,124.438
22,4.4,1071,0,0,0.0,124.688
23,4.6,1070,0,0,0.0,122.438
24,4.8,1076,0,0,0.0,122.812
25,5.0,1070,0,0,0.0,122.375
26,5.2,954,0,0,0.0,116.188
27,5.4,956,0,0,0.0,116.125
28,5.6,995,0,0,0.0,116.0
29,5.8,956,0,0,0.0,116.188
30,6.0,945,0,0,0.0,116.125
31,6.2,992,0,0,0.0,115.875
32,6.4,981,0,0,0.0,115.75
33,6.6,970,0,0,0.0,116.125
34,6.8,990,0,0,0.0,115.938
35,7.0,997,0,0,0.0,115.812
36,7.2,960,0,0,0.0,115.75
37,7.4,953,0,0,0.0,116.0
38,7.6,984,0,0,0.0,115.875
39,7.8,993,0,0,0.0,115.5
40,8.0,950,0,0,0.0,116.125
41,8.2,952,0,0,0.0,116.062
42,8.4,999,0,0,0.0,115.812
43,8.6,991,0,0,0.0,115.75
44,8.8,945,0,0,0.0,115.875
45,9.0,950,0,0,0.0,116.0
46,9.2,991,0,0,0.0,115.5
47,9.4,952,0,0,0.0,115.938
48,9.6,944,0,0,0.0,115.875
49,9.8,965,0,0,0.0,115.688
50,10.0,504,0,0,0.0,116.0
51,10.2,361,0,0,0.0,57.312
52,10.4,361,0,0,0.0,57.25
53,10.6,361,0,0,0.0,57.188
54,10.8,361,0,0,0.0,57.375
55,11.0,359,0,0,0.0,57.375
56,11.2,361,0,0,0.0,57.438
57,11.4,362,0,0,0.0,58.438
58,11.6,212,0,0,0.0,57.938
