layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,355,0,0,0.0,90.75
2,0.4,26,0,0,0.0,94.625
3,0.6,26,0,0,0.0,94.625
4,0.8,26,0,0,0.0,94.625
5,1.0,26,0,0,0.0,94.625
6,1.2,78,0,0,0.0,80.0
7,1.4,25,0,0,0.0,94.625
8,1.6,26,0,0,0.0,94.625
9,1.8,26,0,0,0.0,94.625
10,2.0,26,0,0,0.0,94.625
11,2.2,47,0,0,0.0,97.75
12,2.4,9,0,0,0.0,39.938
13,2.6,9,0,0,0.0,39.938
14,2.8,9,0,0,0.0,39.938
15,3.0,9,0,0,0.0,39.938
16,3.2,9,0,0,0.0,39.938
17,3.4,9,0,0,0.0,39.938
18,3.6,9,0,0,0.0,39.938
19,3.8,9,0,0,0.0,39.938
20,4.0,9,0,0,0.0,39.938
21,4.2,9,0,0,0.0,39.938
22,4.4,9,0,0,0.0,39.938
23,4.6,9,0,0,0.0,39.938
24,4.8,9,0,0,0.0,39.938
25,5.0,9,0,0,0.0,39.938
26,5.2,9,0,0,0.0,39.938
27,5.4,9,0,0,0.0,39.938
28,5.6,9,0,0,0.0,39.938
29,5.8,9,0,0,0.0,39.938
30,6.0,9,0,0,0.0,39.938
31,6.2,9,0,0,0.0,39.938
32,6.4,9,0,0,0.0,39.938
33,6.6,9,0,0,0.0,39.938
34,6.8,9,0,0,0.0,39.938
35,7.0,9,0,0,0.0,39.938
36,7.2,9,0,0,0.0,39.938
37,7.4,9,0,0,0.0,39.938
38,7.6,9,0,0,0.0,39.938
39,7.8,9,0,0,0.0,39.938
40,8.0,9,0,0,0.0,39.938
41,8.2,9,0,0,0.0,39.938
42,8.4,9,0,0,0.0,39.938
43,8.6,9,0,0,0.0,39.938
44,8.8,9,0,0,0.0,39.938
45,9.0,9,0,0,0.0,39.938
46,9.2,9,0,0,0.0,39.938
47,9.4,9,0,0,0.0,39.938
48,9.6,9,0,0,0.0,39.938
49,9.8,9,0,0,0.0,39.938
50,10.0,9,0,0,0.0,39.938
51,10.2,9,0,0,0.0,39.938
52,10.4,9,0,0,0.0,39.938
53,10.6,9,0,0,0.0,39.938
54,10.8,9,0,0,0.0,39.938
55,11.0,9,0,0,0.0,39.938
56,11.2,9,0,0,0.0,39.938
57,11.4,9,0,0,0.0,39.938
58,11.6,9,0,0,0.0,39.938
59,11.8,9,0,0,0.0,39.938
60,12.0,9,0,0,0.0,39.938
61,12.2,9,0,0,0.0,39.938
62,12.4,9,0,0,0.0,39.938
63,12.6,9,0,0,0.0,39.938
64,12.8,9,0,0,0.0,39.938
65,13.0,9,0,0,0.0,39.938
66,13.2,9,0,0,0.0,39.938
67,13.4,9,0,0,0.0,39.938
68,13.6,9,0,0,0.0,39.938
69,13.8,9,0,0,0.0,39.938
70,14.0,9,0,0,0.0,39.938
71,14.2,9,0,0,0.0,39.938
72,14.4,9,0,0,0.0,39.938
73,14.6,9,0,0,0.0,39.938
74,14.8,9,0,0,0.0,39.938
75,15.0,9,0,0,0.0,39.938
76,15.2,9,0,0,0.0,39.938
77,15.4,9,0,0,0.0,39.938
78,15.6,9,0,0,0.0,39.938
79,15.8,9,0,0,0.0,39.938
80,16.0,9,0,0,0.0,39.938
81,16.2,9,0,0,0.0,39.938
82,16.4,9,0,0,0.0,39.938
83,16.6,9,0,0,0.0,39.938
84,16.8,9,0,0,0.0,39.938
85,17.0,9,0,0,0.0,39.938
86,17.2,9,0,0,0.0,39.938
87,17.4,9,0,0,0.0,39.938
88,17.6,9,0,0,0.0,39.938
89,17.8,9,0,0,0.0,39.938
90,18.0,9,0,0,0.0,39.938
91,18.2,9,0,0,0.0,39.938
92,18.4,9,0,0,0.0,39.938
93,18.6,9,0,0,0.0,39.938
94,18.8,9,0,0,0.0,39.938
95,19.0,9,0,0,0.0,39.938
96,19.2,9,0,0,0.0,39.938
97,19.4,9,0,0,0.0,39.938
98,19.6,9,0,0,0.0,39.938
99,19.8,9,0,0,0.0,39.938
100,20.0,9,0,0,0.0,39.938
101,20.2,9,0,0,0.0,39.938
102,20.4,9,0,0,0.0,39.938
103,20.6,9,0,0,0.0,39.938
104,20.8,9,0,0,0.0,39.938
105,21.0,9,0,0,0.0,39.938
106,21.2,9,0,0,0.0,39.938
107,21.4,9,0,0,0.0,39.938
108,21.6,9,0,0,0.0,39.938
109,21.8,41,0,0,0.0,41.938
