layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,407,0,0,0.0,486.625
2,0.4,157,0,0,0.0,499.125
3,0.6,159,0,0,0.0,497.25
4,0.8,157,0,0,0.0,499.125
5,1.0,159,0,0,0.0,497.25
6,1.2,268,0,0,0.0,474.188
7,1.4,159,0,0,0.0,497.25
8,1.6,157,0,0,0.0,499.125
9,1.8,159,0,0,0.0,497.25
10,2.0,539,0,0,0.0,499.125
11,2.2,1192,0,0,0.0,139.625
12,2.4,1216,12,0,0.0,151.0
13,2.6,1204,0,0,0.0,139.625
14,2.65714,9,9,0,0.0,7.25
15,2.8,1180,0,0,0.0,139.625
16,2.91429,11,11,0,0.0,7.562
17,3.0,1207,0,0,0.0,140.312
18,3.17143,4,4,0,0.0,6.75
19,3.2,1195,0,0,0.0,140.25
20,3.4,1205,0,0,0.0,139.812
21,3.42857,4,4,0,0.0,6.75
22,3.6,1205,0,0,0.0,139.688
23,3.68571,4,4,0,0.0,6.75
24,3.8,1219,0,0,0.0,140.812
25,3.94286,15,15,0,0.0,8.312
26,4.0,1205,0,0,0.0,118.438
27,4.2,1228,33,0,0.0,149.75
28,4.4,1241,33,0,0.0,142.812
29,4.6,1235,9,0,0.0,125.625
30,4.68,22,22,0,0.0,16.625
31,4.8,1196,0,0,0.0,117.75
32,4.96,4,4,0,0.0,13.25
33,5.0,1250,0,0,0.0,128.5
34,5.2,1210,0,0,0.0,128.875
35,5.24,4,4,0,0.0,13.25
36,5.4,1202,0,0,0.0,128.312
37,5.52,4,4,0,0.0,13.25
38,5.6,1194,0,0,0.0,128.5
39,5.8,1218,4,0,0.0,142.25
40,6.0,1197,0,0,0.0,128.625
41,6.08,4,4,0,0.0,13.25
42,6.2,1188,0,0,0.0,128.688
43,6.36,4,4,0,0.0,13.25
44,6.4,1207,0,0,0.0,128.5
45,6.6,1200,0,0,0.0,128.5
46,6.64,4,4,0,0.0,13.25
47,6.8,1206,0,0,0.0,128.688
48,6.92,4,4,0,0.0,13.25
49,7.0,1200,0,0,0.0,110.312
50,7.2,1191,4,0,0.0,122.875
51,7.4,1200,0,0,0.0,110.0
52,7.48,4,4,0,0.0,13.25
53,7.6,1195,0,0,0.0,109.562
54,7.76,4,4,0,0.0,13.25
55,7.8,1174,0,0,0.0,110.75
56,8.0,643,0,0,0.0,109.938
57,8.04,4,4,0,0.0,13.25
58,8.2,1134,0,0,0.0,95.562
59,8.32,4,4,0,0.0,13.25
60,8.4,1131,0,0,0.0,95.562
61,8.6,1140,4,0,0.0,108.562
62,8.8,1137,0,0,0.0,95.625
63,8.88,4,4,0,0.0,13.25
64,9.0,1136,0,0,0.0,95.562
65,9.16,23,23,0,0.0,16.875
66,9.2,1131,0,0,0.0,95.688
67,9.4,1133,0,0,0.0,96.0
68,9.44,22,22,0,0.0,16.812
69,9.6,1136,0,0,0.0,95.562
70,9.72,22,22,0,0.0,16.562
71,9.8,1130,0,0,0.0,95.625
72,10.0,1159,22,0,0.0,112.25
73,10.2,1137,0,0,0.0,95.5
74,10.4,1193,0,0,0.0,117.562
75,10.6,1123,0,0,0.0,117.438
76,10.8,1125,0,0,0.0,117.625
77,11.0,1126,0,0,0.0,117.688
78,11.2,1124,0,0,0.0,117.688
79,11.4,1128,0,0,0.0,117.812
80,11.6,1127,0,0,0.0,117.688
81,11.8,1126,0,0,0.0,117.625
82,12.0,1123,0,0,0.0,117.562
83,12.2,624,0,0,0.0,118.312
