event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,2496,0,0.0,
2,0.4,0.3,2504,0,0.0,
4,0.6,0.5,2504,0,0.0,
6,0.8,0.7,2508,0,0.0,
8,1.0,0.9,2508,0,0.0,
10,1.2,1.1,2508,0,0.0,
11,1.4,1.3,2508,0,0.0,
12,1.6,1.5,2508,0,0.0,
13,1.8,1.7,2332,0,0.0,
14,2.0,1.9,2332,0,0.0,
15,2.2,2.1,2332,0,0.0,
16,2.4,2.3,2526,0,0.0,
17,2.6,2.5,2526,0,0.0,
18,2.8,2.7,2526,0,0.0,
19,3.0,2.9,2526,0,0.0,
20,3.2,3.1,2526,0,0.0,
21,3.4,3.3,2526,0,0.0,
22,3.6,3.5,2526,0,0.0,
23,3.8,3.7,2526,0,0.0,
24,4.0,3.9,1694,0,0.0,
25,4.2,4.1,1694,0,0.0,
26,4.4,4.3,1670,0,0.0,
27,4.6,4.5,1262,0,0.0,
28,4.8,4.7,1262,0,0.0,
29,5.0,4.9,1002,0,0.0,
30,5.2,5.1,1002,0,0.0,
31,5.4,5.3,1002,0,0.0,
32,5.6,5.5,1002,0,0.0,
33,5.8,5.7,114,0,0.0,
34,6.0,5.9,114,0,0.0,
35,6.2,6.1,114,0,0.0,
36,6.4,6.3,114,0,0.0,
37,6.6,6.5,114,0,0.0,
38,6.8,6.7,114,0,0.0,
39,7.0,6.9,114,0,0.0,
40,7.2,7.1,114,0,0.0,
41,7.4,7.3,114,0,0.0,
42,7.6,7.5,114,0,0.0,
43,7.8,7.7,114,0,0.0,
44,8.0,7.9,114,0,0.0,
45,8.2,8.1,114,0,0.0,
46,8.4,8.3,114,0,0.0,
47,8.6,8.5,114,0,0.0,
48,8.8,8.7,114,0,0.0,
49,9.0,8.9,114,0,0.0,
50,9.2,9.1,114,0,0.0,
51,9.4,9.3,94,0,0.0,
52,9.6,9.5,94,0,0.0,
53,9.8,9.7,94,0,0.0,
54,10.0,9.9,94,0,0.0,
55,10.2,10.1,94,0,0.0,
56,10.4,10.3,94,0,0.0,
57,10.6,10.5,94,0,0.0,
58,10.8,10.7,94,0,0.0,
59,11.0,10.9,94,0,0.0,
60,11.2,11.1,94,0,0.0,
61,11.4,11.3,94,0,0.0,
62,11.6,11.5,94,0,0.0,
63,11.8,11.7,94,0,0.0,
