layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,924,66,0,0.0,2060.375
2,0.4,442,0,0,0.0,2008.438
3,0.475,8,8,0,0.0,16.125
4,0.6,434,0,0,0.0,2009.5
5,0.75,8,8,0,0.0,16.125
6,0.8,442,0,0,0.0,2008.438
7,1.0,434,0,0,0.0,2009.5
8,1.025,8,8,0,0.0,16.125
9,1.2,638,0,0,0.0,1907.75
10,1.3,8,8,0,0.0,16.125
11,1.4,478,0,0,0.0,1994.938
12,1.575,8,8,0,0.0,16.125
13,1.6,502,0,0,0.0,1992.438
14,1.8,487,0,0,0.0,1996.562
15,1.85,8,8,0,0.0,16.125
16,2.0,335,0,0,0.0,1991.125
17,2.125,8,8,0,0.0,16.125
18,2.2,254,0,0,0.0,573.0
19,2.4,454,202,0,0.0,821.688
20,2.6,425,188,0,0.0,789.812
21,2.8,466,219,0,0.0,795.25
22,3.0,461,219,0,0.0,687.0
23,3.2,502,214,0,0.0,687.438
24,3.4,453,201,0,0.0,686.125
25,3.6,288,0,0,0.0,552.25
26,3.64,217,217,0,0.0,136.375
27,3.8,307,0,0,0.0,553.0
28,3.88,227,227,0,0.0,139.0
29,4.0,290,0,0,0.0,554.125
30,4.12,205,205,0,0.0,148.438
31,4.2,225,0,0,0.0,563.75
32,4.36,203,203,0,0.0,147.438
33,4.4,229,0,0,0.0,564.062
34,4.6,455,201,0,0.0,713.5
35,4.8,417,214,0,0.0,705.562
36,5.0,490,196,0,0.0,702.062
37,5.2,457,195,0,0.0,698.312
38,5.4,424,202,0,0.0,703.5
39,5.6,241,0,0,0.0,566.0
40,5.65714,210,210,0,0.0,143.688
41,5.8,220,0,0,0.0,563.375
42,5.91429,210,210,0,0.0,144.312
43,6.0,255,0,0,0.0,553.688
44,6.17143,192,192,0,0.0,136.875
45,6.2,281,0,0,0.0,553.0
46,6.4,310,0,0,0.0,554.0
47,6.42857,192,192,0,0.0,136.75
48,6.6,290,0,0,0.0,553.938
49,6.68571,192,192,0,0.0,136.75
50,6.8,328,0,0,0.0,561.688
51,6.94286,185,185,0,0.0,136.75
52,7.0,295,0,0,0.0,558.5
53,7.2,477,210,0,0.0,648.438
54,7.4,403,231,0,0.0,656.25
55,7.6,187,0,0,0.0,505.688
56,7.67692,218,218,0,0.0,152.625
57,7.8,174,0,0,0.0,505.625
58,7.95385,229,229,0,0.0,151.75
59,8.0,173,0,0,0.0,502.688
60,8.2,202,0,0,0.0,505.0
61,8.23077,216,216,0,0.0,137.812
62,8.4,191,0,0,0.0,505.125
63,8.50769,217,217,0,0.0,137.875
64,8.6,183,0,0,0.0,504.375
65,8.78462,212,212,0,0.0,137.625
66,8.8,249,0,0,0.0,506.188
67,9.0,261,0,0,0.0,506.062
68,9.06154,211,211,0,0.0,137.625
69,9.2,240,0,0,0.0,505.938
70,9.33846,209,209,0,0.0,137.625
71,9.4,263,0,0,0.0,506.625
72,9.6,252,0,0,0.0,507.25
73,9.61538,215,215,0,0.0,137.688
74,9.8,230,0,0,0.0,507.125
75,9.89231,211,211,0,0.0,137.75
76,10.0,163,0,0,0.0,504.562
77,10.1692,215,215,0,0.0,137.75
78,10.2,181,0,0,0.0,505.062
79,10.4,175,0,0,0.0,505.375
80,10.4462,215,215,0,0.0,137.75
81,10.6,187,0,0,0.0,509.75
82,10.7231,215,215,0,0.0,137.75
83,10.8,196,0,0,0.0,502.5
84,11.0,419,221,0,0.0,640.875
85,11.2,423,236,0,0.0,640.5
86,11.4,481,229,0,0.0,640.0
87,11.6,510,242,0,0.0,640.125
88,11.8,491,243,0,0.0,640.188
89,12.0,525,249,0,0.0,640.875
90,12.2,509,247,0,0.0,639.062
91,12.4,432,248,0,0.0,637.688
92,12.6,445,247,0,0.0,635.375
93,12.8,437,241,0,0.0,634.625
94,13.0,423,240,0,0.0,632.625
95,13.2,182,0,0,0.0,480.5
96,13.28,235,235,0,0.0,148.188
97,13.4,195,0,0,0.0,479.625
98,13.56,251,251,0,0.0,160.312
99,13.6,173,0,0,0.0,480.875
100,13.8,188,0,0,0.0,480.062
101,13.84,235,235,0,0.0,157.312
102,14.0,281,0,0,0.0,485.938
103,14.12,233,233,0,0.0,158.062
104,14.2,285,0,0,0.0,484.875
105,14.4,474,225,0,0.0,642.188
106,14.6,496,230,0,0.0,625.625
107,14.8,702,186,0,0.0,633.75
108,15.0,423,0,0,0.0,522.938
109,15.0783,210,210,0,0.0,127.0
110,15.2,506,0,0,0.0,524.25
111,15.3565,215,215,0,0.0,127.125
112,15.4,556,0,0,0.0,535.5
113,15.6,619,0,0,0.0,554.125
114,15.6348,216,216,0,0.0,127.062
115,15.8,628,0,0,0.0,565.375
116,15.913,215,215,0,0.0,127.625
117,16.0,694,0,0,0.0,580.062
118,16.1913,217,217,0,0.0,127.438
119,16.2,746,0,0,0.0,586.938
120,16.4,756,0,0,0.0,592.062
121,16.4696,217,217,0,0.0,127.562
122,16.6,752,0,0,0.0,598.0
