layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,404,71,0,0.0,197.0
2,0.4,71,0,0,0.0,117.375
3,0.475,8,8,0,0.0,16.188
4,0.6,69,0,0,0.0,116.688
5,0.75,8,8,0,0.0,16.188
6,0.8,71,0,0,0.0,117.375
7,1.0,69,0,0,0.0,116.688
8,1.025,8,8,0,0.0,16.188
9,1.2,71,0,0,0.0,117.375
10,1.3,8,8,0,0.0,16.188
11,1.4,69,0,0,0.0,116.688
12,1.575,8,8,0,0.0,16.188
13,1.6,71,0,0,0.0,117.375
14,1.8,69,0,0,0.0,116.688
15,1.85,8,8,0,0.0,16.188
16,2.0,43,0,0,0.0,117.312
17,2.125,8,8,0,0.0,16.188
18,2.2,17,0,0,0.0,37.438
19,2.4,54,37,0,0.0,71.688
20,2.6,17,0,0,0.0,37.438
21,2.675,34,34,0,0.0,29.688
22,2.8,17,0,0,0.0,37.438
23,2.95,24,24,0,0.0,29.312
24,3.0,17,0,0,0.0,37.438
25,3.2,17,0,0,0.0,37.438
26,3.225,36,36,0,0.0,26.75
27,3.4,17,0,0,0.0,37.438
28,3.5,36,36,0,0.0,26.75
29,3.6,17,0,0,0.0,37.438
30,3.775,43,43,0,0.0,29.062
31,3.8,17,0,0,0.0,37.438
32,4.0,17,0,0,0.0,37.438
33,4.05,41,41,0,0.0,28.938
34,4.2,17,0,0,0.0,37.438
35,4.325,37,37,0,0.0,28.0
36,4.4,17,0,0,0.0,37.438
37,4.6,58,41,0,0.0,66.375
38,4.8,17,0,0,0.0,37.438
39,4.86,41,41,0,0.0,25.0
40,5.0,58,0,0,0.0,43.562
41,5.12,41,41,0,0.0,25.0
42,5.2,32,0,0,0.0,43.562
43,5.38,41,41,0,0.0,25.0
44,5.4,32,0,0,0.0,43.562
45,5.6,32,0,0,0.0,43.562
46,5.64,41,41,0,0.0,25.0
47,5.8,32,0,0,0.0,43.562
48,5.9,41,41,0,0.0,25.0
49,6.0,32,0,0,0.0,43.562
50,6.16,41,41,0,0.0,25.0
51,6.2,32,0,0,0.0,43.562
52,6.4,32,0,0,0.0,43.562
53,6.42,41,41,0,0.0,25.0
54,6.6,32,0,0,0.0,43.562
55,6.68,41,41,0,0.0,25.0
56,6.8,41,0,0,0.0,43.125
57,6.94,41,41,0,0.0,25.0
58,7.0,17,0,0,0.0,37.438
59,7.2,66,49,0,0.0,66.0
60,7.4,17,0,0,0.0,37.438
61,7.47692,48,48,0,0.0,27.375
62,7.6,17,0,0,0.0,37.438
63,7.75385,40,40,0,0.0,26.625
64,7.8,17,0,0,0.0,37.438
65,8.0,17,0,0,0.0,37.438
66,8.03077,62,62,0,0.0,27.625
67,8.2,17,0,0,0.0,37.438
68,8.30769,62,62,0,0.0,27.625
69,8.4,17,0,0,0.0,37.438
70,8.58462,62,62,0,0.0,27.625
71,8.6,17,0,0,0.0,37.438
72,8.8,17,0,0,0.0,37.438
73,8.86154,62,62,0,0.0,27.625
74,9.0,17,0,0,0.0,37.438
75,9.13846,62,62,0,0.0,27.625
76,9.2,17,0,0,0.0,37.438
77,9.4,17,0,0,0.0,37.438
78,9.41538,62,62,0,0.0,27.625
79,9.6,17,0,0,0.0,37.438
80,9.69231,62,62,0,0.0,27.625
81,9.8,17,0,0,0.0,37.438
82,9.96923,62,62,0,0.0,27.625
83,10.0,17,0,0,0.0,37.438
84,10.2,17,0,0,0.0,37.438
85,10.2462,63,63,0,0.0,27.625
86,10.4,17,0,0,0.0,37.438
87,10.5231,62,62,0,0.0,27.625
88,10.6,17,0,0,0.0,37.438
89,10.8,79,62,0,0.0,65.062
90,11.0,17,0,0,0.0,37.438
91,11.0769,62,62,0,0.0,27.625
92,11.2,17,0,0,0.0,37.438
93,11.3538,62,62,0,0.0,27.625
94,11.4,17,0,0,0.0,37.438
95,11.6,17,0,0,0.0,37.438
96,11.6308,62,62,0,0.0,27.625
97,11.8,17,0,0,0.0,37.438
98,11.9077,62,62,0,0.0,27.625
