layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,4729,708,0,0.0,8509.5
2,0.4,3588,0,0,0.0,7026.188
3,0.46,266,266,0,0.0,366.0
4,0.6,3581,0,0,0.0,7026.0
5,0.72,266,266,0,0.0,368.062
6,0.8,3591,0,0,0.0,7026.125
7,0.98,255,255,0,0.0,365.938
8,1.0,3580,0,0,0.0,7031.062
9,1.2,15357,0,0,0.0,2971.812
10,1.24,265,265,0,0.0,368.0
11,1.4,15246,0,0,0.0,3024.5
12,1.5,281,281,0,0.0,368.0
13,1.6,5828,0,0,0.0,4569.312
14,1.76,266,266,0,0.0,367.938
15,1.8,5210,0,0,0.0,6196.188
16,2.0,5176,0,0,0.0,6181.625
17,2.02,264,264,0,0.0,365.875
18,2.2,5829,0,0,0.0,6217.75
19,2.28,265,265,0,0.0,368.062
20,2.4,5220,0,0,0.0,6166.625
21,2.54,280,280,0,0.0,366.0
22,2.6,4865,0,0,0.0,2351.0
23,2.8,5710,398,0,0.0,2845.625
24,3.0,5710,0,0,0.0,2400.438
25,3.07805,418,418,0,0.0,452.5
26,3.2,4973,0,0,0.0,2264.312
27,3.3561,403,403,0,0.0,451.812
28,3.4,5121,0,0,0.0,2209.438
29,3.6,6091,0,0,0.0,2220.625
30,3.63415,525,525,0,0.0,418.062
31,3.8,5679,0,0,0.0,2216.688
32,3.9122,522,522,0,0.0,418.0
33,4.0,5621,0,0,0.0,2220.562
34,4.19024,512,512,0,0.0,418.0
35,4.2,6019,0,0,0.0,2221.5
36,4.4,4971,0,0,0.0,2202.75
37,4.46829,513,513,0,0.0,418.125
38,4.6,6306,0,0,0.0,2234.125
39,4.74634,543,543,0,0.0,418.0
40,4.8,5567,0,0,0.0,2180.5
41,5.0,5816,0,0,0.0,2176.875
42,5.02439,522,522,0,0.0,417.812
43,5.2,5021,0,0,0.0,2161.438
44,5.30244,518,518,0,0.0,417.938
45,5.4,5555,0,0,0.0,2175.375
46,5.58049,518,518,0,0.0,417.875
47,5.6,5831,0,0,0.0,2188.625
48,5.8,5224,0,0,0.0,2189.375
49,5.85854,521,521,0,0.0,418.125
50,6.0,4878,0,0,0.0,2218.625
51,6.13659,520,520,0,0.0,418.062
52,6.2,6016,0,0,0.0,2239.0
53,6.4,5771,0,0,0.0,2219.625
54,6.41463,522,522,0,0.0,418.0
