layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,299,0,0,0.0,36.5
2,0.4,21,0,0,0.0,39.812
3,0.6,21,0,0,0.0,39.812
4,0.8,21,0,0,0.0,39.812
5,1.0,21,0,0,0.0,39.812
6,1.2,21,0,0,0.0,39.812
7,1.4,21,0,0,0.0,39.812
8,1.6,21,0,0,0.0,39.812
9,1.8,21,0,0,0.0,39.812
10,2.0,21,0,0,0.0,39.812
11,2.2,21,0,0,0.0,39.812
12,2.4,21,0,0,0.0,39.812
13,2.6,21,0,0,0.0,39.812
14,2.8,21,0,0,0.0,39.812
15,3.0,21,0,0,0.0,39.812
16,3.2,21,0,0,0.0,39.812
17,3.4,21,0,0,0.0,39.812
18,3.6,21,0,0,0.0,39.812
19,3.8,21,0,0,0.0,39.812
20,4.0,21,0,0,0.0,39.812
21,4.2,21,0,0,0.0,39.812
22,4.4,21,0,0,0.0,39.812
23,4.6,21,0,0,0.0,39.812
24,4.8,21,0,0,0.0,39.812
25,5.0,21,0,0,0.0,39.812
26,5.2,21,0,0,0.0,39.812
27,5.4,21,0,0,0.0,39.812
28,5.6,21,0,0,0.0,39.812
29,5.8,21,0,0,0.0,39.812
30,6.0,21,0,0,0.0,39.812
31,6.2,21,0,0,0.0,39.812
32,6.4,21,0,0,0.0,39.812
33,6.6,21,0,0,0.0,39.812
34,6.8,21,0,0,0.0,39.812
35,7.0,21,0,0,0.0,39.812
36,7.2,21,0,0,0.0,39.812
37,7.4,21,0,0,0.0,39.812
38,7.6,21,0,0,0.0,39.812
39,7.8,21,0,0,0.0,39.812
40,8.0,21,0,0,0.0,39.812
41,8.2,21,0,0,0.0,39.812
42,8.4,21,0,0,0.0,39.812
43,8.6,21,0,0,0.0,39.812
44,8.8,21,0,0,0.0,39.812
45,9.0,21,0,0,0.0,39.812
46,9.2,21,0,0,0.0,39.812
47,9.4,21,0,0,0.0,39.812
48,9.6,21,0,0,0.0,39.812
49,9.8,21,0,0,0.0,39.812
50,10.0,21,0,0,0.0,39.812
51,10.2,112,0,0,0.0,106.562
52,10.4,69,0,0,0.0,118.875
53,10.6,71,0,0,0.0,118.062
54,10.8,69,0,0,0.0,118.875
55,11.0,92,0,0,0.0,108.438
56,11.2,159,0,0,0.0,82.312
57,11.4,183,0,0,0.0,81.375
58,11.6,164,0,0,0.0,75.5
59,11.8,133,0,0,0.0,74.625
60,12.0,158,0,0,0.0,75.625
61,12.2,178,0,0,0.0,78.25
62,12.4,160,0,0,0.0,79.375
63,12.6,122,0,0,0.0,75.375
64,12.8,167,0,0,0.0,75.938
65,13.0,154,0,0,0.0,83.562
66,13.2,60,0,0,0.0,116.0
67,13.4,71,0,0,0.0,118.062
68,13.6,69,0,0,0.0,118.875
69,13.8,71,0,0,0.0,118.062
70,14.0,40,0,0,0.0,119.438
