part_number,component,quantity,basis,source
Carrier / future PCB allocation — layout pending,Carrier / future PCB allocation — layout pending,1,"Mechanical allocation only; footprint audit separate, routing and thermal layout pending",
Carrier / removable electronics tray,Carrier / removable electronics tray,1,Designed concept; physical qualification pending,
04 Guition front glass — drawing reference,04 Guition front glass — drawing reference,1,Designed concept; physical qualification pending,
05 Active 4.3 inch screen,05 Active 4.3 inch screen,1,Designed concept; physical qualification pending,
GEN-M3-HEATSET-OD4.2-L5,M3 insert OD4.2 x5 — GEN-M3-HEATSET-OD4.2-L5,4,nominal generic hardware; not supplier-authenticated CAD,
Battery / red RCY disconnect body - provisional reference,Battery / red RCY disconnect body - provisional reference,1,"RCY/BEC-style red two-wire battery disconnect retained by owner; provisional 12 x 10 x 4 mm reference body, not selected manufacturer CAD",
GEN-M3-BHCS-L8-AF2,M3 x 8 button screw — GEN-M3-BHCS-L8-AF2,4,nominal generic hardware; not supplier-authenticated CAD,
GEN-M2-HEATSET-OD3.2-L4,M2 insert OD3.2 x4 — GEN-M2-HEATSET-OD3.2-L4,10,nominal generic hardware; not supplier-authenticated CAD,
Battery / red RCY disconnect mate - provisional reference,Battery / red RCY disconnect mate - provisional reference,1,"RCY/BEC-style red disconnect mating reference; provisional 12 x 10 x 2.2 mm, not selected manufacturer CAD",
06 Guition PCB and connectors — illustrative detail,06 Guition PCB and connectors — illustrative detail,1,Manufacturer outline reference; local connector locations provisional,
01 Shape A housing,01 Shape A housing,1,Designed concept; physical qualification pending,
Battery / FMA protected holder - owner-measured envelope,Battery / FMA protected holder - owner-measured envelope,1,Owner-measured occupied FMA FPML1S2P050C envelope 42 W x 80.4 H x 20.35 D mm; pocket and local frame details provisional,
02 Single rear cover,02 Single rear cover,1,Designed concept; physical qualification pending,
Battery / 18650 cell A - owner-rated 3400 mAh,Battery / 18650 cell A - owner-rated 3400 mAh,1,"Owner capacity 3400 mAh; 18.2 mm diameter x 69 mm cylinder is a dimensional visual reference, not measured cell CAD",
Display / lower rear-release retainer,Display / lower rear-release retainer,1,Factory frame contact and capture surfaces still require owner measurement,
GEN-M2-SHCS-L5-AF1.5,M2 x 5 socket_cap screw — GEN-M2-SHCS-L5-AF1.5,8,nominal generic hardware; not supplier-authenticated CAD,
Display / upper rear-release retainer,Display / upper rear-release retainer,1,Factory frame contact and capture surfaces still require owner measurement,
Controls / left 1NO button body,Controls / left 1NO button body,1,"Unmeasured12mm button, nut and terminal dimensions provisional",
Chamber / sealed harness feedthrough allowance,Chamber / sealed harness feedthrough allowance,1,"Unmeasured potting/gland allowance Ø4.4 through a Ø8.4 support collar; solid reference represents intended gas closure, not a selected seal or fabricated wire arrangement.",
Controls / left momentary power cap,Controls / left momentary power cap,1,Designed concept; physical qualification pending,
Controls / button retaining nut reference,Controls / button retaining nut reference,1,Illustrative annular nut; actual hardware unmeasured,
Battery / 18650 cell B - owner-rated 3400 mAh,Battery / 18650 cell B - owner-rated 3400 mAh,1,"Owner capacity 3400 mAh; 18.2 mm diameter x 69 mm cylinder is a dimensional visual reference, not measured cell CAD",
Chamber / A3 four-screw service lid,Chamber / A3 four-screw service lid,1,"Designed 2 mm internal lid with four rear M2 screws; flat mating contact, gasket geometry and preload pending.",
USB A3 — illustrative contact stripes,USB A3 — illustrative contact stripes,1,Illustrative contact stripes only; not pin geometry or footprint.,https://gct.co/files/drawings/usb4720.pdf
USB A3 — tiny flush metal bezel and hidden flange,USB A3 — tiny flush metal bezel and hidden flange,1,"Designed metal bezel14x8mm visible, hidden20x11mm flange; local drawing1.80mm seat. Material/process/seals pending.",https://gct.co/files/drawings/usb4720.pdf
USB A3 — removable printed support frame,USB A3 — removable printed support frame,1,"Designed printed cartridge; floor2mm, boss OD7.3 around3.3mm pilot. Local nominal walls only, not global wall certification.",https://gct.co/files/drawings/usb4720.pdf
USB A3 — hidden metal retaining bridge,USB A3 — hidden metal retaining bridge,1,Designed metal common bridge and PCB edge capture; two M2 screws. Positive solder-tab/PCB load path requires physical qualification.,https://gct.co/files/drawings/usb4720.pdf
USB A3 — supported 0.60 mm daughterboard provisional,USB A3 — supported 0.60 mm daughterboard provisional,1,"Provisional 16x13.6x0.60mm daughterboard with straddle and support clearances. Routing, solder lands and fabrication outline pending.",https://gct.co/files/drawings/usb4720.pdf
