coupon,material,status,filament_brand_grade,print_date,measured_result,acceptance_criterion,photo_path,notes
C01_gas_inlet,PLA,Not printed / not measured,,,,gas_roof,,
C01_gas_inlet,PETG,Not printed / not measured,,,,gas_roof,,
C02_gas_return,PLA,Not printed / not measured,,,,gas_roof,,
C02_gas_return,PETG,Not printed / not measured,,,,gas_roof,,
C03_m3_boss,PLA,Not printed / not measured,,,,heat_set,,
C03_m3_boss,PETG,Not printed / not measured,,,,heat_set,,
C04_holder_rail,PLA,Not printed / not measured,,,,battery_fit,,
C04_holder_rail,PETG,Not printed / not measured,,,,battery_fit,,
C05_display_lip,PLA,Not printed / not measured,,,,display_fit,,
C05_display_lip,PETG,Not printed / not measured,,,,display_fit,,
C06_usb_m2_frame,PLA,Not printed / not measured,,,,heat_set,,
C06_usb_m2_frame,PETG,Not printed / not measured,,,,heat_set,,
C07_usb_bezel,PLA,Not printed / not measured,,,,usb_fit,,
C07_usb_bezel,PETG,Not printed / not measured,,,,usb_fit,,
C08_ao2_thread,PLA,Not printed / not measured,,,,ao2_thread,,
C08_ao2_thread,PETG,Not printed / not measured,,,,ao2_thread,,
