kind,item,material,project,layer_events,predicted_seconds,predicted_weight_g,support_segments,physical_status
coupon,C01_gas_inlet,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C01_gas_inlet/C01_gas_inlet_petg.3mf,250,1868,2.87,3830,not printed / not measured
coupon,C01_gas_inlet,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C01_gas_inlet/C01_gas_inlet_pla.3mf,250,1684,2.91,3948,not printed / not measured
coupon,C02_gas_return,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C02_gas_return/C02_gas_return_petg.3mf,241,2618,5.39,1386,not printed / not measured
coupon,C02_gas_return,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C02_gas_return/C02_gas_return_pla.3mf,241,1973,5.42,1386,not printed / not measured
coupon,C03_m3_boss,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C03_m3_boss/C03_m3_boss_petg.3mf,58,1060,1.53,325,not printed / not measured
coupon,C03_m3_boss,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C03_m3_boss/C03_m3_boss_pla.3mf,58,885,1.54,325,not printed / not measured
coupon,C04_holder_rail,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C04_holder_rail/C04_holder_rail_petg.3mf,109,1000,1.25,0,not printed / not measured
coupon,C04_holder_rail,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C04_holder_rail/C04_holder_rail_pla.3mf,109,964,1.26,0,not printed / not measured
coupon,C05_display_lip,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C05_display_lip/C05_display_lip_petg.3mf,100,1551,2.49,0,not printed / not measured
coupon,C05_display_lip,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C05_display_lip/C05_display_lip_pla.3mf,100,1201,2.51,0,not printed / not measured
coupon,C06_usb_m2_frame,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C06_usb_m2_frame/C06_usb_m2_frame_petg.3mf,83,1199,2.84,305,not printed / not measured
coupon,C06_usb_m2_frame,pla,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/pla/C06_usb_m2_frame/C06_usb_m2_frame_pla.3mf,83,983,2.86,305,not printed / not measured
coupon,C07_usb_bezel,petg,/Users/magnustrandokken/Documents/Projects/Trimix/trimix-analysator/hardware/enclosure/rev04/print-release/printing/projects/petg/C07_usb_bezel/C07_usb_bezel_petg.3mf,29,622,0.65,366,not printed / not measured
