layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,541,0,0,0.0,246.188
2,0.4,121,0,0,0.0,255.5
3,0.6,121,0,0,0.0,255.688
4,0.8,121,0,0,0.0,255.5
5,1.0,121,0,0,0.0,255.688
6,1.2,171,0,0,0.0,238.0
7,1.4,167,0,0,0.0,238.625
8,1.6,184,0,0,0.0,238.562
9,1.8,171,0,0,0.0,239.688
10,2.0,125,0,0,0.0,238.312
11,2.2,148,0,0,0.0,108.188
12,2.4,179,30,0,0.0,161.188
13,2.6,165,26,0,0.0,155.812
14,2.8,174,26,0,0.0,155.438
15,3.0,110,0,0,0.0,99.5
16,3.05,20,20,0,0.0,26.062
17,3.2,161,0,0,0.0,107.75
18,3.3,20,20,0,0.0,26.062
19,3.4,138,0,0,0.0,107.688
20,3.55,20,20,0,0.0,26.062
21,3.6,159,0,0,0.0,107.938
22,3.8,174,20,0,0.0,133.75
23,4.0,152,0,0,0.0,107.375
24,4.05,37,37,0,0.0,34.188
25,4.2,170,0,0,0.0,110.438
26,4.3,35,35,0,0.0,33.375
27,4.4,163,0,0,0.0,110.188
28,4.55,32,32,0,0.0,32.938
29,4.6,178,0,0,0.0,111.188
30,4.8,166,35,0,0.0,142.188
31,5.0,157,24,0,0.0,132.0
32,5.2,217,24,0,0.0,133.25
33,5.4,191,31,0,0.0,136.875
34,5.6,152,0,0,0.0,109.0
35,5.65,39,39,0,0.0,31.438
36,5.8,146,0,0,0.0,110.0
37,5.9,35,35,0,0.0,29.875
38,6.0,137,0,0,0.0,108.062
39,6.15,15,15,0,0.0,23.938
40,6.2,154,0,0,0.0,108.688
41,6.4,162,15,0,0.0,131.375
42,6.6,147,0,0,0.0,107.125
43,6.65,15,15,0,0.0,23.875
44,6.8,148,0,0,0.0,107.75
45,6.9,15,15,0,0.0,23.875
46,7.0,153,0,0,0.0,109.75
47,7.15,15,15,0,0.0,23.875
48,7.2,158,0,0,0.0,103.312
49,7.4,125,29,0,0.0,134.062
50,7.6,111,0,0,0.0,101.062
51,7.67879,31,31,0,0.0,34.75
52,7.8,109,0,0,0.0,101.25
53,7.95758,29,29,0,0.0,34.625
54,8.0,120,0,0,0.0,99.438
55,8.2,110,0,0,0.0,99.312
56,8.23636,11,11,0,0.0,25.812
57,8.4,109,0,0,0.0,101.5
58,8.51515,11,11,0,0.0,25.812
59,8.6,126,0,0,0.0,101.688
60,8.79394,11,11,0,0.0,25.812
61,8.8,155,0,0,0.0,102.812
62,9.0,149,0,0,0.0,102.062
63,9.07273,11,11,0,0.0,25.812
64,9.2,149,0,0,0.0,101.938
65,9.35152,11,11,0,0.0,25.812
66,9.4,153,0,0,0.0,102.375
67,9.6,151,0,0,0.0,102.625
68,9.6303,11,11,0,0.0,25.812
69,9.8,156,0,0,0.0,103.5
70,9.90909,11,11,0,0.0,25.812
71,10.0,107,0,0,0.0,101.688
72,10.1879,11,11,0,0.0,25.812
73,10.2,116,0,0,0.0,101.75
74,10.4,108,0,0,0.0,101.5
75,10.4667,11,11,0,0.0,25.812
76,10.6,107,0,0,0.0,99.062
77,10.7455,11,11,0,0.0,25.812
78,10.8,115,0,0,0.0,99.438
79,11.0,107,0,0,0.0,100.938
80,11.0242,11,11,0,0.0,25.812
81,11.2,117,0,0,0.0,101.062
82,11.303,11,11,0,0.0,25.812
83,11.4,139,0,0,0.0,101.5
84,11.5818,11,11,0,0.0,25.812
85,11.6,133,0,0,0.0,100.562
86,11.8,131,0,0,0.0,100.625
87,11.8606,11,11,0,0.0,25.812
88,12.0,131,0,0,0.0,101.75
89,12.1394,11,11,0,0.0,25.812
90,12.2,137,0,0,0.0,102.25
91,12.4,121,0,0,0.0,102.562
92,12.4182,11,11,0,0.0,25.812
93,12.6,95,0,0,0.0,101.125
94,12.697,11,11,0,0.0,25.812
95,12.8,111,0,0,0.0,101.0
96,12.9758,11,11,0,0.0,25.812
97,13.0,109,0,0,0.0,101.125
98,13.2,108,0,0,0.0,99.25
99,13.2545,11,11,0,0.0,25.812
100,13.4,110,0,0,0.0,99.312
101,13.5333,11,11,0,0.0,25.812
102,13.6,105,0,0,0.0,101.0
103,13.8,122,0,0,0.0,101.812
104,13.8121,11,11,0,0.0,25.812
105,14.0,158,0,0,0.0,102.875
106,14.0909,11,11,0,0.0,25.812
107,14.2,148,0,0,0.0,102.125
108,14.3697,11,11,0,0.0,25.812
109,14.4,138,0,0,0.0,101.75
110,14.6,149,0,0,0.0,102.188
111,14.6485,11,11,0,0.0,25.812
112,14.8,149,0,0,0.0,102.75
113,14.9273,11,11,0,0.0,25.812
114,15.0,119,0,0,0.0,102.375
115,15.2,102,0,0,0.0,101.688
116,15.2061,11,11,0,0.0,25.812
117,15.4,116,0,0,0.0,101.938
118,15.4848,11,11,0,0.0,25.812
119,15.6,120,0,0,0.0,105.625
120,15.7636,11,11,0,0.0,25.812
121,15.8,65,0,0,0.0,110.438
122,16.0,90,0,0,0.0,122.938
123,16.0424,11,11,0,0.0,25.812
124,16.2,90,0,0,0.0,122.938
125,16.3212,11,11,0,0.0,25.812
126,16.4,90,0,0,0.0,122.938
127,16.6,256,11,0,0.0,150.125
128,16.8,207,0,0,0.0,113.062
129,16.8788,11,11,0,0.0,25.812
130,17.0,277,0,0,0.0,109.312
131,17.1576,11,11,0,0.0,25.812
132,17.2,263,0,0,0.0,104.25
133,17.4,231,0,0,0.0,103.0
134,17.4364,11,11,0,0.0,25.812
135,17.6,307,0,0,0.0,99.938
136,17.7152,11,11,0,0.0,25.812
137,17.8,276,0,0,0.0,98.125
138,17.9939,11,11,0,0.0,25.812
139,18.0,277,0,0,0.0,96.188
140,18.2,267,0,0,0.0,95.5
141,18.2727,11,11,0,0.0,25.812
142,18.4,278,0,0,0.0,93.562
143,18.5515,11,11,0,0.0,25.812
