event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,928,0,0.0,
2,0.4,0.3,928,0,0.0,
4,0.6,0.5,928,0,0.0,
6,0.8,0.7,928,0,0.0,
7,1.0,0.9,928,0,0.0,
9,1.2,1.1,928,0,0.0,
11,1.4,1.3,928,0,0.0,
13,1.6,1.5,928,0,0.0,
14,1.8,1.7,928,0,0.0,
16,2.0,1.9,928,0,0.0,
18,2.2,2.1,2212,0,0.0,
19,2.4,2.3,2212,0,0.0,
20,2.6,2.5,2184,0,0.0,
21,2.8,2.7,2184,0,0.0,
22,3.0,2.9,2184,0,0.0,
23,3.2,3.1,2148,0,0.0,
24,3.4,3.3,2148,0,0.0,
25,3.6,3.5,2148,0,0.0,
27,3.8,3.7,2148,0,0.0,
29,4.0,3.9,2148,0,0.0,
31,4.2,4.1,2148,0,0.0,
33,4.4,4.3,2148,0,0.0,
34,4.6,4.5,2148,0,0.0,
35,4.8,4.7,2148,0,0.0,
36,5.0,4.9,2168,0,0.0,
37,5.2,5.1,2124,0,0.0,
38,5.4,5.3,2124,0,0.0,
39,5.6,5.5,2124,0,0.0,
41,5.8,5.7,2124,0,0.0,
43,6.0,5.9,2124,0,0.0,
45,6.2,6.1,2124,0,0.0,
46,6.4,6.3,2124,0,0.0,
48,6.6,6.5,2124,0,0.0,
50,6.8,6.7,2124,0,0.0,
52,7.0,6.9,2104,0,0.0,
53,7.2,7.1,1920,0,0.0,
54,7.4,7.3,1920,0,0.0,
55,7.6,7.5,1920,0,0.0,
57,7.8,7.7,1920,0,0.0,
59,8.0,7.9,1920,0,0.0,
60,8.2,8.1,1920,0,0.0,
62,8.4,8.3,1920,0,0.0,
64,8.6,8.5,1920,0,0.0,
66,8.8,8.7,1920,0,0.0,
67,9.0,8.9,1920,0,0.0,
69,9.2,9.1,1920,0,0.0,
71,9.4,9.3,1920,0,0.0,
72,9.6,9.5,1920,0,0.0,
74,9.8,9.7,1920,0,0.0,
76,10.0,9.9,1920,0,0.0,
78,10.2,10.1,1920,0,0.0,
79,10.4,10.3,1920,0,0.0,
81,10.6,10.5,1920,0,0.0,
83,10.8,10.7,1918,0,0.0,
84,11.0,10.9,1900,0,0.0,
85,11.2,11.1,1890,0,0.0,
86,11.4,11.3,1882,0,0.0,
87,11.6,11.5,1874,0,0.0,
88,11.8,11.7,1868,0,0.0,
89,12.0,11.9,1862,0,0.0,
90,12.2,12.1,1858,0,0.0,
91,12.4,12.3,1854,0,0.0,
92,12.6,12.5,1850,0,0.0,
93,12.8,12.7,1846,0,0.0,
94,13.0,12.9,1842,0,0.0,
95,13.2,13.1,1838,0,0.0,
97,13.4,13.3,1836,0,0.0,
99,13.6,13.5,1834,0,0.0,
100,13.8,13.7,1830,0,0.0,
102,14.0,13.9,1828,0,0.0,
104,14.2,14.1,1826,0,0.0,
105,14.4,14.3,1824,0,0.0,
106,14.6,14.5,1822,0,0.0,
107,14.8,14.7,1902,0,0.0,
108,15.0,14.9,1898,0,0.0,
110,15.2,15.1,1898,0,0.0,
112,15.4,15.3,1896,0,0.0,
113,15.6,15.5,1898,0,0.0,
115,15.8,15.7,1898,0,0.0,
117,16.0,15.9,1898,0,0.0,
119,16.2,16.1,1896,0,0.0,
120,16.4,16.3,1898,0,0.0,
122,16.6,16.5,1900,0,0.0,
124,16.8,16.7,2059,0,0.0,
125,17.0,16.9,2058,0,0.0,
127,17.2,17.1,2056,0,0.0,
129,17.4,17.3,2052,0,0.0,
131,17.6,17.5,2053,0,0.0,
132,17.8,17.7,2052,0,0.0,
134,18.0,17.9,2049,0,0.0,
136,18.2,18.1,2047,0,0.0,
137,18.4,18.3,2048,0,0.0,
139,18.6,18.5,2050,0,0.0,
141,18.8,18.7,2048,0,0.0,
143,19.0,18.9,2049,0,0.0,
144,19.2,19.1,2049,0,0.0,
146,19.4,19.3,2048,0,0.0,
148,19.6,19.5,2052,0,0.0,
149,19.8,19.7,2052,0,0.0,
151,20.0,19.9,2051,0,0.0,
153,20.2,20.1,2057,0,0.0,
155,20.4,20.3,2062,0,0.0,
156,20.6,20.5,2067,0,0.0,
158,20.8,20.7,2068,0,0.0,
160,21.0,20.9,2076,0,0.0,
161,21.2,21.1,2086,0,0.0,
162,21.4,21.3,2090,0,0.0,
163,21.6,21.5,2130,34,1.5962,"[[137.922, 139.422], [141.422, 141.422]]"
164,21.8,21.7,2133,0,0.0,
165,22.0,21.9,2138,0,0.0,
167,22.2,22.1,2168,0,0.0,
169,22.4,22.3,2192,0,0.0,
170,22.6,22.5,2036,0,0.0,
172,22.8,22.7,2034,0,0.0,
174,23.0,22.9,2036,0,0.0,
176,23.2,23.1,2064,0,0.0,
177,23.4,23.3,2068,0,0.0,
179,23.6,23.5,2038,0,0.0,
181,23.8,23.7,2044,0,0.0,
183,24.0,23.9,2046,0,0.0,
184,24.2,24.1,2030,0,0.0,
186,24.4,24.3,2036,0,0.0,
188,24.6,24.5,2040,0,0.0,
189,24.8,24.7,2046,0,0.0,
190,25.0,24.9,2050,0,0.0,
192,25.2,25.1,2144,0,0.0,
194,25.4,25.3,2088,56,2.682,"[[197.422, 168.922], [214.422, 171.672]]"
