layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,385,77,0,0.0,174.875
2,0.4,38,0,0,0.0,120.938
3,0.475,18,18,0,0.0,24.25
4,0.6,38,0,0,0.0,120.938
5,0.75,18,18,0,0.0,24.25
6,0.8,38,0,0,0.0,120.938
7,1.0,38,0,0,0.0,120.938
8,1.025,18,18,0,0.0,24.25
9,1.2,38,0,0,0.0,120.938
10,1.3,18,18,0,0.0,24.25
11,1.4,38,0,0,0.0,120.938
12,1.575,77,77,0,0.0,32.75
13,1.6,38,0,0,0.0,120.938
14,1.8,38,0,0,0.0,120.938
15,1.85,46,46,0,0.0,29.938
16,2.0,102,0,0,0.0,128.125
17,2.125,48,48,0,0.0,29.75
18,2.2,29,0,0,0.0,30.5
19,2.4,75,46,0,0.0,60.375
20,2.6,29,0,0,0.0,30.5
21,2.8,391,0,0,0.0,74.562
22,3.0,338,0,0,0.0,74.375
23,3.2,344,0,0,0.0,74.5
24,3.4,341,0,0,0.0,74.438
25,3.6,338,0,0,0.0,74.375
26,3.8,344,0,0,0.0,74.5
27,4.0,341,0,0,0.0,74.438
28,4.2,336,0,0,0.0,74.375
29,4.4,184,0,0,0.0,74.062
