layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,358,0,0,0.0,143.688
2,0.4,42,0,0,0.0,144.812
3,0.6,42,0,0,0.0,144.812
4,0.8,42,0,0,0.0,144.812
5,1.0,42,0,0,0.0,144.812
6,1.2,192,0,0,0.0,105.0
7,1.4,192,0,0,0.0,105.062
8,1.6,195,0,0,0.0,104.625
9,1.8,144,0,0,0.0,104.125
10,2.0,209,0,0,0.0,110.312
11,2.2,191,0,0,0.0,108.125
12,2.4,209,0,0,0.0,101.75
13,2.6,123,0,0,0.0,94.5
14,2.8,152,0,0,0.0,94.562
15,3.0,193,0,0,0.0,106.75
16,3.2,215,0,0,0.0,109.562
17,3.4,162,0,0,0.0,104.5
18,3.6,216,0,0,0.0,105.562
19,3.8,189,0,0,0.0,104.562
20,4.0,189,0,0,0.0,104.312
21,4.2,213,0,0,0.0,104.5
22,4.4,162,0,0,0.0,104.125
23,4.6,228,0,0,0.0,111.0
24,4.8,149,0,0,0.0,106.625
25,5.0,159,0,0,0.0,99.25
26,5.2,123,0,0,0.0,94.438
27,5.4,140,0,0,0.0,94.625
28,5.6,187,0,0,0.0,106.062
29,5.8,182,0,0,0.0,108.938
30,6.0,161,0,0,0.0,104.812
31,6.2,192,0,0,0.0,104.625
32,6.4,222,0,0,0.0,105.5
33,6.6,189,0,0,0.0,105.0
34,6.8,207,0,0,0.0,104.938
35,7.0,147,0,0,0.0,103.938
36,7.2,286,0,0,0.0,112.188
37,7.4,163,0,0,0.0,107.25
38,7.6,159,0,0,0.0,101.812
39,7.8,123,0,0,0.0,94.125
40,8.0,156,0,0,0.0,94.5
41,8.2,204,0,0,0.0,107.188
42,8.4,200,0,0,0.0,109.125
43,8.6,172,0,0,0.0,104.938
44,8.8,213,0,0,0.0,105.25
45,9.0,216,0,0,0.0,105.25
46,9.2,189,0,0,0.0,104.5
47,9.4,222,0,0,0.0,105.062
48,9.6,189,0,0,0.0,104.25
49,9.8,253,0,0,0.0,108.188
50,10.0,159,0,0,0.0,106.312
51,10.2,159,0,0,0.0,100.25
52,10.4,124,0,0,0.0,94.312
53,10.6,124,0,0,0.0,94.5
54,10.8,167,0,0,0.0,99.562
55,11.0,182,0,0,0.0,107.875
56,11.2,162,0,0,0.0,105.312
57,11.4,192,0,0,0.0,104.438
58,11.6,219,0,0,0.0,105.562
59,11.8,189,0,0,0.0,104.938
60,12.0,219,0,0,0.0,105.625
61,12.2,192,0,0,0.0,105.25
62,12.4,162,0,0,0.0,105.938
63,12.6,175,0,0,0.0,107.75
64,12.8,168,0,0,0.0,103.125
65,13.0,123,0,0,0.0,94.312
66,13.2,123,0,0,0.0,94.125
67,13.4,161,0,0,0.0,103.188
68,13.6,186,0,0,0.0,108.688
69,13.8,164,0,0,0.0,115.125
70,14.0,97,0,0,0.0,136.875
71,14.2,106,0,0,0.0,132.875
72,14.4,106,0,0,0.0,131.438
73,14.6,125,0,0,0.0,138.062
74,14.8,99,0,0,0.0,133.125
75,15.0,87,0,0,0.0,134.062
76,15.2,102,0,0,0.0,133.562
77,15.4,49,0,0,0.0,126.938
78,15.6,36,0,0,0.0,126.812
79,15.8,45,0,0,0.0,126.812
80,16.0,39,0,0,0.0,127.062
81,16.2,76,0,0,0.0,136.375
82,16.4,95,0,0,0.0,132.562
83,16.6,94,0,0,0.0,133.688
84,16.8,90,0,0,0.0,88.312
85,17.0,90,0,0,0.0,88.312
86,17.2,90,0,0,0.0,88.188
87,17.4,78,0,0,0.0,88.062
88,17.6,75,0,0,0.0,88.375
89,17.8,99,0,0,0.0,89.188
90,18.0,36,0,0,0.0,82.438
91,18.2,27,0,0,0.0,82.188
92,18.4,36,0,0,0.0,82.062
93,18.6,30,0,0,0.0,82.312
94,18.8,64,0,0,0.0,91.062
95,19.0,95,0,0,0.0,89.062
96,19.2,25,0,0,0.0,95.438
97,19.4,26,0,0,0.0,95.438
98,19.6,26,0,0,0.0,95.438
99,19.8,26,0,0,0.0,95.438
100,20.0,46,0,0,0.0,101.438
