layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,2661,0,0,0.0,120.125
2,0.4,2197,0,0,0.0,139.75
3,0.6,2191,0,0,0.0,139.062
4,0.8,2192,0,0,0.0,139.938
5,1.0,2187,0,0,0.0,138.938
6,1.2,2199,0,0,0.0,139.188
7,1.4,2196,0,0,0.0,139.875
8,1.6,2196,0,0,0.0,139.812
9,1.8,2197,0,0,0.0,139.75
10,2.0,2202,0,0,0.0,139.25
11,2.2,2196,0,0,0.0,139.438
12,2.4,2201,0,0,0.0,139.938
13,2.6,2201,0,0,0.0,139.5
14,2.8,2194,0,0,0.0,139.938
15,3.0,2209,0,0,0.0,139.188
16,3.2,2190,0,0,0.0,139.312
17,3.4,2196,0,0,0.0,139.188
18,3.6,2189,0,0,0.0,139.375
19,3.8,915,0,0,0.0,136.562
