layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,674,0,0,0.0,53.062
2,0.4,361,0,0,0.0,59.125
3,0.6,354,0,0,0.0,59.188
4,0.8,361,0,0,0.0,59.125
5,1.0,354,0,0,0.0,59.25
6,1.2,368,0,0,0.0,59.125
7,1.4,355,0,0,0.0,59.312
8,1.6,368,0,0,0.0,59.125
9,1.8,355,0,0,0.0,59.312
10,2.0,106,0,0,0.0,59.812
11,2.2,9,0,0,0.0,8.5
12,2.4,9,0,0,0.0,8.5
13,2.6,9,0,0,0.0,8.5
14,2.8,9,0,0,0.0,8.5
15,3.0,9,0,0,0.0,8.5
16,3.2,9,0,0,0.0,8.5
17,3.4,9,0,0,0.0,8.5
18,3.6,9,0,0,0.0,8.5
19,3.8,9,0,0,0.0,8.5
20,4.0,9,0,0,0.0,8.5
21,4.2,9,0,0,0.0,8.5
22,4.4,9,0,0,0.0,8.5
23,4.6,9,0,0,0.0,8.5
24,4.8,9,0,0,0.0,8.5
25,5.0,9,0,0,0.0,8.5
26,5.2,9,0,0,0.0,8.5
27,5.4,9,0,0,0.0,8.5
28,5.6,9,0,0,0.0,8.5
29,5.8,9,0,0,0.0,8.5
30,6.0,9,0,0,0.0,8.5
31,6.2,9,0,0,0.0,8.5
32,6.4,11,0,0,0.0,8.438
