event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,572,0,0.0,
2,0.4,0.3,572,0,0.0,
3,0.6,0.5,570,0,0.0,
4,0.8,0.7,574,0,0.0,
5,1.0,0.9,572,0,0.0,
6,1.2,1.1,572,0,0.0,
7,1.4,1.3,572,0,0.0,
8,1.6,1.5,570,0,0.0,
9,1.8,1.7,574,0,0.0,
10,2.0,1.9,572,0,0.0,
11,2.2,2.1,572,0,0.0,
12,2.4,2.3,572,0,0.0,
13,2.6,2.5,570,0,0.0,
14,2.8,2.7,574,0,0.0,
15,3.0,2.9,572,0,0.0,
16,3.2,3.1,572,0,0.0,
17,3.4,3.3,572,0,0.0,
18,3.6,3.5,570,0,0.0,
19,3.8,3.7,574,0,0.0,
