item,quantity_or_variant,evidence,design_use,qualification_or_sourcing,url
AO2 oxygen cell,1,Order 2025-06-17 and owner confirms three-pin cable,Oxygen channel A,Cable polarity and board-side mating connector must be verified,https://www.aliexpress.com/item/1005009147959378.html
R17JJ-CCR oxygen cell,1,Owner confirmed model and standalone analyser connection,Oxygen channel B,Verify cell polarity and insulated SMB mating fit,
SMB male PCB connector,10 pcs,Order 2026-02-20,Separate oxygen coax input,Exact mounting pattern and shell isolation pending,https://www.aliexpress.com/item/1005007851936695.html
MD62 thermal conductivity sensor,1,Order 2025-06-17,Experimental helium bridge,Match actual black detector mark to manual; do not use old imported pin numbering,https://www.aliexpress.com/item/32725880118.html
GYBMEP BME280-5V module,1,Order 2025-06-17 and supplied four-pin product image,Wired chamber humidity temperature pressure,Verify ID0x60 and regulator/pull-up topology; VIN GND SCL SDA,https://www.aliexpress.com/item/1005007524214715.html
ZE07-CO module,Order quantity1; listing bundle size not confirmed,Order 2025-06-30 and owner approved use,Experimental carbon-monoxide channel,Not CO2; manufacturer excludes human-safety use; validate humidity and supply,https://www.aliexpress.com/item/1005005816661786.html
12 mm illuminated momentary button,Green LED 3-6V 1NO self-reset,Order 2025-06-17,Panel power button,Confirm separate contact and LED pins and LED current limiting,https://www.aliexpress.com/item/1005007168217107.html
ADS1115 breakout,1,Order 2025-06-17,Bench prototyping,Not evidence of stock for the two bare ADS1115IDGS devices in A2,https://www.aliexpress.com/item/1005005973975124.html
ADS1115IDGS bare IC,2 required,A2 design selection,Independent O2 and He ADC chips,Additional purchase or stock confirmation required,https://www.ti.com/product/ADS1115
LTC2954CTS8-1,1 required,Old BOM candidate and A2 design selection,Push-button power controller,Stock not confirmed; exact suffix and TSOT-23 footprint to verify,https://www.analog.com/en/products/ltc2954.html
SPX3819M5-L-3-0,2 required,A2 design selection,MD62 excitation and separate CO UART logic rails,Stock not confirmed,https://www.maxlinear.com/product/power-management/linear-regulators-ldos/ldos-and-regulators/ldos/spx3819
TXU0202DCUR,1 required,A2 design selection,CO UART voltage translation,Stock not confirmed,https://www.ti.com/product/TXU0202
TPS61023DRLR,1 required,A2 design selection,Dedicated CO supply with voltage margin,Stock not confirmed; qualify inductor and capacitors,https://www.ti.com/product/TPS61023
Precision bridge and CO feedback resistors,See A2 BOM,A2 design requirements,MD62 reference and CO voltage setting,Assortment kits do not prove 0.1 percent or low temperature coefficient availability,
