board,reference,source_value,source_footprint,manufacturer,proposed_mpn,capacitance_uF,rated_voltage_V,tolerance_percent,dielectric,temperature_range_C,max_body_height_mm,primary_source,local_source,bias_evidence,status,purchasing_status
Main,C101,1u / 25V X7R,Capacitor_SMD:C_0805_2012Metric,TDK,C2012X7R1E105K125AB,1,25,10,X7R,-55 to 125,1.45,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,../sources/c2012x7r1e105k125ab.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C103,47n / 16V X7R,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C473K5RACTU,0.047,50,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0805C473K5RACTU,kemet-47n-0805.pdf,Manufacturer typical simulation; about 1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; circuit/layout fit still reviewed by PCB owner,not purchased; authorized distributor quote pending
Main,C203,100n / 10V X7R,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C301,100n / 10V X7R,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C401,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
Main,C402,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C403,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C404,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
Main,C405,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C406,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C407,100n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H104K080AA,0.1,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,../sources/c1608x7r1h104k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C408,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
