Reference,Printed_reference,Printed_layers,Available_in,Value,MPN
C101,False,,assembly reference map / native Fab view,1u / 16V X7R / 10%,C0603C105K4RACTU
C102,False,,assembly reference map / native Fab view,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C103,False,,assembly reference map / native Fab view,47n / 50V X7R / 10%,C1005X7R1H473K050BE
C104,True,B.SilkS,silkscreen and assembly map,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C105,True,B.SilkS,silkscreen and assembly map,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C106,False,,assembly reference map / native Fab view,22u / 25V X5R / 20%,C3216X5R1E226M160AB
C107,False,,assembly reference map / native Fab view,47u / 10V X5R / 20%,C2012X5R1A476M125AC
C108,False,,assembly reference map / native Fab view,4.7u / 16V X5R / 10%,C1608X5R1C475K080AC
C110,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C111,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C112,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C113,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C114,False,,assembly reference map / native Fab view,4.7u / 25V X7R / 10%,C3216X7R1E475K160AC
C115,False,,assembly reference map / native Fab view,100n / 50V X7R,C1608X7R1H104K080AA
C116,False,,assembly reference map / native Fab view,3.3n / 50V C0G / 5%,GRM1555C1H332JE01D
C201,True,B.SilkS,silkscreen and assembly map,22u / 25V X5R / 20%,C3216X5R1E226M160AB
C202,True,B.SilkS,silkscreen and assembly map,22u / 25V X5R / 20%,C3216X5R1E226M160AB
C203,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C204,True,B.SilkS,silkscreen and assembly map,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C205,True,B.SilkS,silkscreen and assembly map,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C206,True,B.SilkS,silkscreen and assembly map,22u / 16V X7R / 20%,C3225X7R1C226M250AC
C301,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C0805C104K5RACTU
C302,True,B.SilkS,silkscreen and assembly map,4.7u / 16V X5R / 10%,C1608X5R1C475K080AC
C303,True,B.SilkS,silkscreen and assembly map,4.7u / 16V X5R / 10%,C1608X5R1C475K080AC
C401,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C402,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C403,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C404,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C405,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C406,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C407,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C408,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C409,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C501,True,B.SilkS,silkscreen and assembly map,4.7u / 16V X5R / 10%,C1608X5R1C475K080AC
C502,True,B.SilkS,silkscreen and assembly map,4.7u / 16V X5R / 10%,C1608X5R1C475K080AC
C503,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10% / DNP,C1608X7R1H103K080AA
C504,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C505,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C506,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C507,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10%,C1608X7R1H103K080AA
C508,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C509,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
C601,True,B.SilkS,silkscreen and assembly map,1u / 25V X7R / 10%,C2012X7R1E105K125AB
C701,True,B.SilkS,silkscreen and assembly map,22u / 25V X5R / 20%,C3216X5R1E226M160AB
C702,False,,assembly reference map / native Fab view,22u / 16V X5R / 20%,C2012X5R1C226M125AC
C703,True,B.SilkS,silkscreen and assembly map,22u / 16V X5R / 20%,C2012X5R1C226M125AC
C704,True,B.SilkS,silkscreen and assembly map,1u / 25V X7R / 10%,C2012X7R1E105K125AB
C705,True,B.SilkS,silkscreen and assembly map,1u / 25V X7R / 10%,C2012X7R1E105K125AB
C706,True,B.SilkS,silkscreen and assembly map,10n / 50V X7R / 10% / DNP,C0805C103K5RACTU
C707,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C0805C104K5RACTU
C708,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C0805C104K5RACTU
C801,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C802,True,B.SilkS,silkscreen and assembly map,100n / 50V X7R / 10%,C1608X7R1H104K080AA
C803,True,B.SilkS,silkscreen and assembly map,33n / 50V X7R / 10%,C0805C333K5RACTU
C804,True,B.SilkS,silkscreen and assembly map,1u / 16V X7R / 10%,C0603C105K4RACTU
H1,True,B.SilkS,silkscreen and assembly map,M2 NPTH 2.30,
H2,True,B.SilkS,silkscreen and assembly map,M2 NPTH 2.30,
J101,True,F.SilkS,silkscreen and assembly map,USB HARNESS: 5V/GND/CC1/CC2/D+/D-,
J102,True,B.SilkS,silkscreen and assembly map,PACK PIGTAIL,
J103,True,B.SilkS,silkscreen and assembly map,PACK NTC: 103AT-2,M20-9990246
J104,True,B.SilkS,silkscreen and assembly map,ARM: OPEN,M20-9990246
J301,True,B.SilkS,silkscreen and assembly map,GUITION JP1 / 2x13,HTSW-113-07-L-D-007
J401,True,F.SilkS,silkscreen and assembly map,AO2 / 3-pin cable,M20-9990346
J402,True,F.SilkS,silkscreen and assembly map,SMB male-centre / Amphenol142138,142138
J501,True,B.SilkS,silkscreen and assembly map,MD62 cable / <=30 cm,M20-9990346
J601,True,B.SilkS,silkscreen and assembly map,BME280 harness,B4B-XH-A(LF)(SN)
J701,True,B.SilkS,silkscreen and assembly map,ZE07-CO harness,B4B-XH-A(LF)(SN)
J801,True,F.SilkS,silkscreen and assembly map,POWER BUTTON / 1NO,M20-9990246
J802,True,F.SilkS,silkscreen and assembly map,BUTTON LED +/-,M20-9990246
L101,True,B.SilkS,silkscreen and assembly map,1u / 74437349010,74437349010
L201,True,B.SilkS,silkscreen and assembly map,1.5u / XGL4030-152MEC,XGL4030-152MEC
L701,True,F.SilkS,silkscreen and assembly map,1u / XGL4020-102MEC,XGL4020-102MEC
Q101,True,B.SilkS,silkscreen and assembly map,2N7002,2N7002-7-F
Q110,True,F.SilkS,silkscreen and assembly map,DMN2056U-7,DMN2056U-7
Q111,True,B.SilkS,silkscreen and assembly map,DMN2056U-7,DMN2056U-7
Q112,True,B.SilkS,silkscreen and assembly map,DMN2056U-7,DMN2056U-7
Q601,True,F.SilkS,silkscreen and assembly map,BSS138,BSS138-7-F
Q602,True,B.SilkS,silkscreen and assembly map,BSS138,BSS138-7-F
R101,False,,assembly reference map / native Fab view,5.23k 1%,RC0402FR-075K23L
R102,False,,assembly reference map / native Fab view,30.1k 1%,RC0603FR-0730K1L
R103,False,,assembly reference map / native Fab view,300R / 1% / supported ILIM range,RC0603FR-07300RL
R104,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R105,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R107,False,,assembly reference map / native Fab view,10k,RC0603FR-0710KL
R110,True,B.SilkS,silkscreen and assembly map,887k / 1%,RC0603FR-07887KL
R111,True,B.SilkS,silkscreen and assembly map,33k / 1%,RC0603FR-0733KL
R112,True,B.SilkS,silkscreen and assembly map,10k / 1%,RC0603FR-0710KL
R113,True,B.SilkS,silkscreen and assembly map,97.6k / 0.1%,RT0603BRD0797K6L
R114,True,B.SilkS,silkscreen and assembly map,10k / 0.1%,RT0603BRD0710KL
R115,False,,assembly reference map / native Fab view,10k / 0.1%,RT0402BRD0710KL
R116,False,,assembly reference map / native Fab view,1k / 0.1%,RT0603BRD071KL
R117,True,B.SilkS,silkscreen and assembly map,100k / 1%,RC0603FR-07100KL
R118,True,F.SilkS,silkscreen and assembly map,100k / 0.1%,RT0402BRD07100KL
R119,False,,assembly reference map / native Fab view,19.1k / 0.1%,RT0402BRD0719K1L
R120,True,B.SilkS,silkscreen and assembly map,10k / 1%,RC0603FR-0710KL
R121,False,,assembly reference map / native Fab view,34k / 0.1% / 10ppm,TNPW060334K0BYEA
R122,False,,assembly reference map / native Fab view,649R / 0.1% / 10ppm,TNPW0603649RBYEA
R123,True,B.SilkS,silkscreen and assembly map,10k / 0.1% / 10ppm,TNPW060310K0BYEA
