pair_index,source,target,category,temperature_C,finished_height_mm,plating_um,geometry_case,trace_and_barrel_full_item_ohm,mV_per_A,mW_per_A_squared
2,U115.6,U114.2,source_trunk,20,1.44,20,native_nominal,0.020039040928211634,20.039040928211634,20.039040928211634
2,U115.6,U114.2,source_trunk,20,1.44,20,width_minus_25um_copper_80pct,0.026456862569925688,26.456862569925686,26.456862569925686
2,U115.6,U114.2,source_trunk,20,1.44,25,native_nominal,0.01972505500077433,19.72505500077433,19.72505500077433
2,U115.6,U114.2,source_trunk,20,1.44,25,width_minus_25um_copper_80pct,0.026142876642488384,26.142876642488385,26.142876642488385
2,U115.6,U114.2,source_trunk,20,1.6,20,native_nominal,0.020201651342609483,20.201651342609484,20.201651342609484
2,U115.6,U114.2,source_trunk,20,1.6,20,width_minus_25um_copper_80pct,0.026619472984323538,26.619472984323536,26.619472984323536
2,U115.6,U114.2,source_trunk,20,1.6,25,native_nominal,0.019852778089901366,19.852778089901367,19.852778089901367
2,U115.6,U114.2,source_trunk,20,1.6,25,width_minus_25um_copper_80pct,0.026270599731615423,26.270599731615423,26.270599731615423
2,U115.6,U114.2,source_trunk,20,1.76,20,native_nominal,0.020364261757007333,20.364261757007334,20.364261757007334
2,U115.6,U114.2,source_trunk,20,1.76,20,width_minus_25um_copper_80pct,0.026782083398721387,26.782083398721387,26.782083398721387
2,U115.6,U114.2,source_trunk,20,1.76,25,native_nominal,0.019980501179028408,19.98050117902841,19.98050117902841
2,U115.6,U114.2,source_trunk,20,1.76,25,width_minus_25um_copper_80pct,0.026398322820742462,26.39832282074246,26.39832282074246
2,U115.6,U114.2,source_trunk,60,1.44,20,native_nominal,0.0231891781621265,23.189178162126503,23.189178162126503
2,U115.6,U114.2,source_trunk,60,1.44,20,width_minus_25um_copper_80pct,0.03061588136591801,30.61588136591801,30.61588136591801
2,U115.6,U114.2,source_trunk,60,1.44,25,native_nominal,0.02282583364689605,22.82583364689605,22.82583364689605
2,U115.6,U114.2,source_trunk,60,1.44,25,width_minus_25um_copper_80pct,0.03025253685068756,30.25253685068756,30.25253685068756
2,U115.6,U114.2,source_trunk,60,1.6,20,native_nominal,0.023377350933667693,23.377350933667692,23.377350933667692
2,U115.6,U114.2,source_trunk,60,1.6,20,width_minus_25um_copper_80pct,0.030804054137459194,30.804054137459193,30.804054137459193
2,U115.6,U114.2,source_trunk,60,1.6,25,native_nominal,0.02297363480563386,22.97363480563386,22.97363480563386
2,U115.6,U114.2,source_trunk,60,1.6,25,width_minus_25um_copper_80pct,0.03040033800942537,30.40033800942537,30.40033800942537
2,U115.6,U114.2,source_trunk,60,1.76,20,native_nominal,0.023565523705208886,23.565523705208886,23.565523705208886
2,U115.6,U114.2,source_trunk,60,1.76,20,width_minus_25um_copper_80pct,0.030992226909000387,30.992226909000387,30.992226909000387
2,U115.6,U114.2,source_trunk,60,1.76,25,native_nominal,0.023121435964371672,23.12143596437167,23.12143596437167
2,U115.6,U114.2,source_trunk,60,1.76,25,width_minus_25um_copper_80pct,0.03054813916816318,30.54813916816318,30.54813916816318
2,U115.6,U114.2,source_trunk,85,1.44,20,native_nominal,0.025158013933323294,25.158013933323293,25.158013933323293
2,U115.6,U114.2,source_trunk,85,1.44,20,width_minus_25um_copper_80pct,0.03321526811341321,33.21526811341321,33.21526811341321
2,U115.6,U114.2,source_trunk,85,1.44,25,native_nominal,0.024763820300722134,24.763820300722134,24.763820300722134
2,U115.6,U114.2,source_trunk,85,1.44,25,width_minus_25um_copper_80pct,0.03282107448081204,32.821074480812044,32.821074480812044
2,U115.6,U114.2,source_trunk,85,1.6,20,native_nominal,0.025362163178079076,25.362163178079076,25.362163178079076
2,U115.6,U114.2,source_trunk,85,1.6,20,width_minus_25um_copper_80pct,0.03341941735816899,33.419417358168985,33.419417358168985
2,U115.6,U114.2,source_trunk,85,1.6,25,native_nominal,0.024924170252966674,24.924170252966675,24.924170252966675
