pair_index,source,target,category,temperature_C,finished_height_mm,plating_um,geometry_case,trace_and_barrel_full_item_ohm,mV_per_A,mW_per_A_squared
0,J101.1,U115.5,source_trunk,20,1.44,20,native_nominal,0.024676580786750425,24.676580786750424,24.676580786750424
0,J101.1,U115.5,source_trunk,20,1.44,20,width_minus_25um_copper_80pct,0.03385576323977679,33.85576323977679,33.85576323977679
0,J101.1,U115.5,source_trunk,20,1.44,25,native_nominal,0.024655236804862778,24.655236804862778,24.655236804862778
0,J101.1,U115.5,source_trunk,20,1.44,25,width_minus_25um_copper_80pct,0.033834419257889145,33.834419257889145,33.834419257889145
0,J101.1,U115.5,source_trunk,20,1.6,20,native_nominal,0.02468775114764171,24.68775114764171,24.68775114764171
0,J101.1,U115.5,source_trunk,20,1.6,20,width_minus_25um_copper_80pct,0.03386693360066807,33.86693360066807,33.86693360066807
0,J101.1,U115.5,source_trunk,20,1.6,25,native_nominal,0.024664035612210988,24.664035612210988,24.664035612210988
0,J101.1,U115.5,source_trunk,20,1.6,25,width_minus_25um_copper_80pct,0.03384321806523735,33.84321806523735,33.84321806523735
0,J101.1,U115.5,source_trunk,20,1.76,20,native_nominal,0.024698921508532992,24.698921508532994,24.698921508532994
0,J101.1,U115.5,source_trunk,20,1.76,20,width_minus_25um_copper_80pct,0.03387810396155935,33.878103961559354,33.878103961559354
0,J101.1,U115.5,source_trunk,20,1.76,25,native_nominal,0.024672834419559198,24.672834419559198,24.672834419559198
0,J101.1,U115.5,source_trunk,20,1.76,25,width_minus_25um_copper_80pct,0.03385201687258556,33.85201687258556,33.85201687258556
0,J101.1,U115.5,source_trunk,60,1.44,20,native_nominal,0.02855573928642759,28.555739286427592,28.555739286427592
0,J101.1,U115.5,source_trunk,60,1.44,20,width_minus_25um_copper_80pct,0.039177889221069705,39.177889221069705,39.177889221069705
0,J101.1,U115.5,source_trunk,60,1.44,25,native_nominal,0.028531040030587203,28.531040030587203,28.531040030587203
0,J101.1,U115.5,source_trunk,60,1.44,25,width_minus_25um_copper_80pct,0.03915318996522932,39.153189965229316,39.153189965229316
0,J101.1,U115.5,source_trunk,60,1.6,20,native_nominal,0.028568665628050983,28.568665628050983,28.568665628050983
0,J101.1,U115.5,source_trunk,60,1.6,20,width_minus_25um_copper_80pct,0.0391908155626931,39.190815562693096,39.190815562693096
0,J101.1,U115.5,source_trunk,60,1.6,25,native_nominal,0.02854122201045055,28.54122201045055,28.54122201045055
0,J101.1,U115.5,source_trunk,60,1.6,25,width_minus_25um_copper_80pct,0.039163371945092666,39.16337194509266,39.16337194509266
0,J101.1,U115.5,source_trunk,60,1.76,20,native_nominal,0.028581591969674375,28.581591969674374,28.581591969674374
0,J101.1,U115.5,source_trunk,60,1.76,20,width_minus_25um_copper_80pct,0.03920374190431649,39.20374190431649,39.20374190431649
0,J101.1,U115.5,source_trunk,60,1.76,25,native_nominal,0.0285514039903139,28.5514039903139,28.5514039903139
