reference,side,MPN,DNP,PCB_x_mm,PCB_y_mm,rotation_deg,x_min_mm,y_min_mm,x_max_mm,y_max_mm,max_body_height_mm,assembly_allowance_mm,clearance_height_above_FCu_mm,Fusion_z_bottom_mm,Fusion_z_top_mm,Fusion_x_min_mm,Fusion_x_max_mm,Fusion_y_min_mm,Fusion_y_max_mm,basis,XY_basis,source,model_status
C101,F.Cu,C0603C105K4RACTU,False,8.3,82.3,180.0,7.3,81.69999999999999,9.3,82.9,0.9,0.15,1.05,22.1,23.15,57.699999999999996,59.7,37.099999999999994,38.30000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C102,F.Cu,C3225X7R1C226M250AC,False,8.1,79.1,90.0,6.6499999999999995,77.3,9.55,80.9,2.8,0.15,2.9499999999999997,22.1,25.05,57.05,59.95,39.099999999999994,42.7,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C103,F.Cu,C0805C473K5RACTU,False,19.0,82.3,90.0,18.175,81.1,19.825,83.5,0.9,0.15,1.05,22.1,23.15,68.575,70.225,36.5,38.900000000000006,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C473K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C104,F.Cu,C3225X7R1C226M250AC,False,19.6,75.25,0.0,17.8,73.8,21.4,76.7,2.8,0.15,2.9499999999999997,22.1,25.05,68.2,71.8,43.3,46.2,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C105,F.Cu,C3225X7R1C226M250AC,False,8.199999,85.75,90.0,6.749999,83.94999999999999,9.649999000000001,87.55000000000001,2.8,0.15,2.9499999999999997,22.1,25.05,57.149999,60.049999,32.44999999999999,36.05000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C106,F.Cu,C3216X5R1E226M160AB,False,2.95,90.75,0.0,1.1500000000000001,89.75,4.75,91.75,1.8,0.15,1.95,22.1,24.05,51.55,55.15,28.25,30.25,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X5R1E226M160AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C107,F.Cu,C3216X5R1E226M160AB,False,8.0,74.5,90.0,7.0,72.69999999999999,9.0,76.30000000000001,1.8,0.15,1.95,22.1,24.05,57.4,59.4,43.69999999999999,47.30000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X5R1E226M160AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C108,F.Cu,C1608X5R1C475K080AC,False,16.9,83.1,90.0,16.3,82.1,17.5,84.10000000000001,0.9,0.15,1.05,22.1,23.15,66.7,67.9,35.89999999999999,37.900000000000006,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X5R1C475K080AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C110,F.Cu,C1608X7R1H104K080AA,False,22.7,77.4,90.0,22.1,76.39999999999999,23.299999999999997,78.4,0.9,0.15,1.05,22.1,23.15,72.5,73.69999999999999,41.599999999999994,43.60000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C111,F.Cu,C1608X7R1H104K080AA,False,29.025,73.1,90.0,28.425,72.1,29.625,74.10000000000001,0.9,0.15,1.05,22.1,23.15,78.825,80.025,45.89999999999999,47.900000000000006,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C112,F.Cu,C1608X7R1H104K080AA,False,28.0,86.0,90.0,27.400000000000002,85.0,28.599999999999998,87.0,0.9,0.15,1.05,22.1,23.15,77.8,79.0,33.0,35.0,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C113,F.Cu,C1608X7R1H104K080AA,False,28.25,81.2,90.0,27.650000000000002,80.19999999999999,28.849999999999998,82.2,0.9,0.15,1.05,22.1,23.15,78.05,79.25,37.8,39.80000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C114,B.Cu,C3216X7R1E475K160AC,False,9.9,90.0,0.0,8.1,89.0,11.700000000000001,91.0,1.8,0.15,1.95,18.55,20.5,58.5,62.1,29.0,31.0,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X7R1E475K160AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C115,B.Cu,C1608X7R1H104K080AA,False,12.0,92.75,-90.0,11.4,91.75,12.6,93.75,0.9,0.15,1.05,19.450000000000003,20.5,61.8,63.0,26.25,28.25,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C116,B.Cu,GRM1555C1H332JE01D,False,16.5,89.05,-90.0,16.225,88.52499999999999,16.775,89.575,0.55,0.15,0.7000000000000001,19.8,20.5,66.625,67.175,30.424999999999997,31.47500000000001,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H332JE01-01A.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
C201,F.Cu,C3216X5R1E226M160AB,False,17.0,61.75,90.0,15.999999999999998,59.95,18.0,63.55,1.8,0.15,1.95,22.1,24.05,66.39999999999999,68.4,56.45,60.05,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X5R1E226M160AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C202,F.Cu,C3216X5R1E226M160AB,False,19.7,72.25,0.0,17.900000000000002,71.25,21.5,73.25,1.8,0.15,1.95,22.1,24.05,68.3,71.9,46.75,48.75,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X5R1E226M160AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C203,F.Cu,C1608X7R1H104K080AA,False,11.8,57.7,0.0,10.799999999999999,57.1,12.8,58.3,0.9,0.15,1.05,22.1,23.15,61.199999999999996,63.2,61.7,62.9,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
