reference,pin,net,function,verification
J101,1,USB_5V,1_1,native logical net export; physical mating orientation pending
J101,2,GND,2_2,native logical net export; physical mating orientation pending
J101,3,USB_CC1,3_3,native logical net export; physical mating orientation pending
J101,4,USB_CC2,4_4,native logical net export; physical mating orientation pending
J101,5,USB_D_P,5_5,native logical net export; physical mating orientation pending
J101,6,USB_D_M,6_6,native logical net export; physical mating orientation pending
J102,1,PACK_P,Pin_1_1,native logical net export; physical mating orientation pending
J102,2,GND,Pin_2_2,native logical net export; physical mating orientation pending
J103,1,/01  CHARGING + BATTERY/PACK_TS,Pin_1_1,native logical net export; physical mating orientation pending
J103,2,GND,Pin_2_2,native logical net export; physical mating orientation pending
J104,1,VSYS,A_1,native logical net export; physical mating orientation pending
J104,2,CHARGE_ARM,B_2,native logical net export; physical mating orientation pending
J301,1,HOST_3V3,Pin_1_1,native logical net export; physical mating orientation pending
J301,10,CO_UART_RX,Pin_10_10,native logical net export; physical mating orientation pending
J301,11,USB_ILIM_AUTH,Pin_11_11,native logical net export; physical mating orientation pending
J301,12,CO_UART_TX,Pin_12_12,native logical net export; physical mating orientation pending
J301,13,CHG_INT_N,Pin_13_13,native logical net export; physical mating orientation pending
J301,14,I2C_SCL,Pin_14_14,native logical net export; physical mating orientation pending
J301,15,unconnected-(J301-Pin_15-Pad15),Pin_15_15,native logical net export; physical mating orientation pending
J301,16,GND,Pin_16_16,native logical net export; physical mating orientation pending
J301,17,HE_ENABLE,Pin_17_17,native logical net export; physical mating orientation pending
J301,18,HOST_3V3,Pin_18_18,native logical net export; physical mating orientation pending
J301,19,POWER_INT_N,Pin_19_19,native logical net export; physical mating orientation pending
J301,2,HOST_5V,Pin_2_2,native logical net export; physical mating orientation pending
J301,20,unconnected-(J301-Pin_20-Pad20),Pin_20_20,native logical net export; physical mating orientation pending
J301,21,I2C_SDA,Pin_21_21,native logical net export; physical mating orientation pending
J301,22,unconnected-(J301-Pin_22-Pad22),Pin_22_22,native logical net export; physical mating orientation pending
J301,23,unconnected-(J301-Pin_23-Pad23),Pin_23_23,native logical net export; physical mating orientation pending
J301,24,unconnected-(J301-Pin_24-Pad24),Pin_24_24,native logical net export; physical mating orientation pending
J301,25,unconnected-(J301-Pin_25-Pad25),Pin_25_25,native logical net export; physical mating orientation pending
J301,26,unconnected-(J301-Pin_26-Pad26),Pin_26_26,native logical net export; physical mating orientation pending
J301,3,HOST_3V3,Pin_3_3,native logical net export; physical mating orientation pending
J301,4,HOST_5V,Pin_4_4,native logical net export; physical mating orientation pending
J301,5,GND,Pin_5_5,native logical net export; physical mating orientation pending
J301,6,GND,Pin_6_6,native logical net export; physical mating orientation pending
J301,7,unconnected-(J301-Pin_7-Pad7),Pin_7_7,native logical net export; physical mating orientation pending
J301,8,POWER_KILL_N,Pin_8_8,native logical net export; physical mating orientation pending
J301,9,CO_UART_EN,Pin_9_9,native logical net export; physical mating orientation pending
J401,1,O2_A_RAW_P,Pin_1_1,native logical net export; physical mating orientation pending
J401,2,O2_A_RAW_N,Pin_2_2,native logical net export; physical mating orientation pending
J401,3,unconnected-(J401-Pin_3-Pad3),Pin_3_3,native logical net export; physical mating orientation pending
J402,1,O2_B_RAW_P,In_1,native logical net export; physical mating orientation pending
J402,2,O2_B_RAW_N,Ext_2,native logical net export; physical mating orientation pending
J501,1,HE_3V0,Pin_1_1,native logical net export; physical mating orientation pending
J501,2,HE_SENSE,Pin_2_2,native logical net export; physical mating orientation pending
J501,3,GND,Pin_3_3,native logical net export; physical mating orientation pending
J601,1,BME_VIN,VIN_1,native logical net export; physical mating orientation pending
J601,2,GND,GND_2,native logical net export; physical mating orientation pending
J601,3,BME_SCL,SCL_3,native logical net export; physical mating orientation pending
J601,4,BME_SDA,SDA_4,native logical net export; physical mating orientation pending
J701,1,CO_5V28,5.28V_1,native logical net export; physical mating orientation pending
J701,2,GND,GND_2,native logical net export; physical mating orientation pending
J701,3,CO_TX_CABLE,CO_TX_3,native logical net export; physical mating orientation pending
J701,4,CO_RX_CABLE,CO_RX_4,native logical net export; physical mating orientation pending
J801,1,Net-(J801-Pin_1),Pin_1_1,native logical net export; physical mating orientation pending
J801,2,GND,Pin_2_2,native logical net export; physical mating orientation pending
J802,1,BUTTON_LED_A,Pin_1_1,native logical net export; physical mating orientation pending
J802,2,GND,Pin_2_2,native logical net export; physical mating orientation pending
J901,A1,GND,GND_A1,native logical net export; physical mating orientation pending
J901,A12,GND,GND_A12,native logical net export; physical mating orientation pending
J901,A4,USB_5V,VBUS_A4,native logical net export; physical mating orientation pending
J901,A5,USB_CC1,CC1_A5,native logical net export; physical mating orientation pending
J901,A6,USB_D_P,D+_A6,native logical net export; physical mating orientation pending
J901,A7,USB_D_M,D-_A7,native logical net export; physical mating orientation pending
J901,A8,unconnected-(J901-SBU1-PadA8),SBU1_A8,native logical net export; physical mating orientation pending
J901,A9,USB_5V,VBUS_A9,native logical net export; physical mating orientation pending
J901,B1,GND,GND_B1,native logical net export; physical mating orientation pending
J901,B12,GND,GND_B12,native logical net export; physical mating orientation pending
J901,B4,USB_5V,VBUS_B4,native logical net export; physical mating orientation pending
J901,B5,USB_CC2,CC2_B5,native logical net export; physical mating orientation pending
J901,B6,USB_D_P,D+_B6,native logical net export; physical mating orientation pending
J901,B7,USB_D_M,D-_B7,native logical net export; physical mating orientation pending
J901,B8,unconnected-(J901-SBU2-PadB8),SBU2_B8,native logical net export; physical mating orientation pending
J901,B9,USB_5V,VBUS_B9,native logical net export; physical mating orientation pending
J901,SH,GND,SHIELD_SH,native logical net export; physical mating orientation pending
J902,1,USB_5V,1_1,native logical net export; physical mating orientation pending
J902,2,GND,2_2,native logical net export; physical mating orientation pending
J902,3,USB_CC1,3_3,native logical net export; physical mating orientation pending
J902,4,USB_CC2,4_4,native logical net export; physical mating orientation pending
J902,5,USB_D_P,5_5,native logical net export; physical mating orientation pending
J902,6,USB_D_M,6_6,native logical net export; physical mating orientation pending
TP1001,1,GND,1_1,native logical net export; physical mating orientation pending
TP1002,1,USB_5V,1_1,native logical net export; physical mating orientation pending
TP1003,1,PACK_P,1_1,native logical net export; physical mating orientation pending
TP1004,1,VSYS,1_1,native logical net export; physical mating orientation pending
TP1005,1,VOUT_5V,1_1,native logical net export; physical mating orientation pending
TP1006,1,HOST_3V3,1_1,native logical net export; physical mating orientation pending
TP1007,1,POWER_EN,1_1,native logical net export; physical mating orientation pending
TP1008,1,I2C_SCL,1_1,native logical net export; physical mating orientation pending
TP1009,1,I2C_SDA,1_1,native logical net export; physical mating orientation pending
TP1010,1,HE_3V0,1_1,native logical net export; physical mating orientation pending
TP1011,1,HE_SENSE,1_1,native logical net export; physical mating orientation pending
TP1012,1,O2_VMID,1_1,native logical net export; physical mating orientation pending
TP1013,1,/01  CHARGING + BATTERY/CHG_STAT_N,1_1,native logical net export; physical mating orientation pending
TP1014,1,/01  CHARGING + BATTERY/BQ_QON_N,1_1,native logical net export; physical mating orientation pending
