Reference,Value,Manufacturer,MPN,Quantity,Population_quantity,Category,Footprint,Side,PCB_X_mm,PCB_Y_mm,Rotation_deg,Assembly_note,Native_exclude_from_BOM,Native_exclude_from_CPL
H1,M2 NPTH 2.30,,,1,0,PCB feature,Mechanical_M2_NPTH_2.30mm,top,25.6,92.0,0.0,,True,True
H2,M2 NPTH 2.30,,,1,0,PCB feature,Mechanical_M2_NPTH_2.30mm,top,4.4,6.0,0.0,,True,True
J101,USB HARNESS: 5V/GND/CC1/CC2/D+/D-,,,1,0,PCB feature,USB_Harness_6P_P1.8mm,top,14.75,97.0,0.0,custom harness solder termination; no standalone board connector; actual wire fit/strain relief pending,False,False
J102,PACK PIGTAIL,,,1,0,PCB feature,Battery_Pigtail_2x22AWG_P4.2_D1.00_Pad1.85,top,14.9,93.0,0.0,custom harness solder termination; no standalone board connector; actual wire fit/strain relief pending,False,True
TP1001,GND,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.751277,66.0,0.0,,True,True
TP1002,USB_5V,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,23.001277,83.0,0.0,,True,True
TP1003,PACK_P,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.501277,90.25,0.0,,True,True
TP1004,VSYS,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.5,95.5,0.0,,True,True
TP1005,VOUT_5V,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,15.0,70.5,0.0,,True,True
TP1006,HOST_3V3,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,22.601277,35.4,0.0,,True,True
TP1007,POWER_EN,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,bottom,21.001277,60.75,180.0,,True,True
TP1008,I2C_SCL,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,24.851277,35.4,0.0,,True,True
TP1009,I2C_SDA,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,27.101277,35.4,0.0,,True,True
TP1010,HE_3V0,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,1.101277,46.2,0.0,,True,True
TP1011,HE_SENSE,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,7.801277,34.2,0.0,,True,True
TP1012,O2_VMID,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,7.5,43.25,0.0,,True,True
TP1013,CHG_STAT_N,,,1,0,PCB feature,TestPoint_Pad_D0.8mm,bottom,10.15,83.9,180.0,,False,True
TP1014,QON SERVICE,,,1,0,PCB feature,TestPoint_Pad_D0.8mm,top,15.1,86.4,0.0,,False,True
