Ref,Val,Package,PosX,PosY,Rot,Side
"C114","4.7u / 25V X7R / 10%","C_1206_3216Metric",9.900000,-90.000000,0.000000,bottom
"C115","100n / 50V X7R","C_0603_1608Metric",12.000000,-92.750000,-90.000000,bottom
"C116","3.3n / 50V C0G / 5%","C_0402_1005Metric",16.500000,-89.050000,-90.000000,bottom
"R119","19.1k / 0.1%","R_0402_1005Metric",5.150000,-88.150000,0.000000,bottom
"R121","34k / 0.1% / 10ppm","R_0603_1608Metric",8.750000,-84.800000,90.000000,bottom
"R122","649R / 0.1% / 10ppm","R_0603_1608Metric",10.450000,-87.800000,0.000000,bottom
"R123","10k / 0.1% / 10ppm","R_0603_1608Metric",13.725000,-87.600000,0.000000,bottom
"R124","21.5k / 0.1% / 25ppm","R_0603_1608Metric",16.000000,-86.350000,90.000000,bottom
"R125","10k / 0.1% / 25ppm","R_0603_1608Metric",17.750000,-86.950000,90.000000,bottom
"R126","1.65k / 0.1%","R_0603_1608Metric",18.750000,-90.000000,90.000000,bottom
"R127","10k / 1%","R_0603_1608Metric",10.250000,-92.750000,90.000000,bottom
"R128","100k / 1%","R_0603_1608Metric",8.500000,-92.750000,90.000000,bottom
"U115","TPS259470ARPWR","TI_RPW0010A",14.500000,-90.000000,0.000000,bottom
"C101","1u / 16V X7R / 10%","C_0603_1608Metric",8.300000,-82.300000,180.000000,top
"C102","22u / 16V X7R / 20%","C_1210_3225Metric",8.100000,-79.100000,90.000000,top
"C103","47n / 50V X7R / 10%","C_0805_2012Metric",19.000000,-82.300000,90.000000,top
"C104","22u / 16V X7R / 20%","C_1210_3225Metric",19.600000,-75.250000,0.000000,top
"C105","22u / 16V X7R / 20%","C_1210_3225Metric",8.199999,-85.750000,90.000000,top
"C106","22u / 25V X5R / 20%","C_1206_3216Metric",2.950000,-90.750000,0.000000,top
"C107","22u / 25V X5R / 20%","C_1206_3216Metric",8.000000,-74.500000,90.000000,top
"C108","4.7u / 16V X5R / 10%","C_0603_1608Metric",16.900000,-83.100000,90.000000,top
"C110","100n / 50V X7R / 10%","C_0603_1608Metric",22.700000,-77.400000,90.000000,top
"C111","100n / 50V X7R / 10%","C_0603_1608Metric",29.025000,-73.100000,90.000000,top
"C112","100n / 50V X7R / 10%","C_0603_1608Metric",28.000000,-86.000000,90.000000,top
"C113","100n / 50V X7R / 10%","C_0603_1608Metric",28.250000,-81.200000,90.000000,top
"C201","22u / 25V X5R / 20%","C_1206_3216Metric",17.000000,-61.750000,90.000000,top
"C202","22u / 25V X5R / 20%","C_1206_3216Metric",19.700000,-72.250000,0.000000,top
"C203","100n / 50V X7R / 10%","C_0603_1608Metric",11.800000,-57.700000,0.000000,top
