Ref,Val,Package,PosX,PosY,Rot,Side
C103,47n / 50V X7R / 10%,C_TDK_C1005_Recommended,14.600000,-80.700000,180.000000,bottom
C107,47u / 10V X5R / 20%,C_TDK_C2012_Recommended,13.875000,-79.125000,0.000000,bottom
C116,3.3n / 50V C0G / 5%,C_0402_1005Metric,16.500000,-89.050000,-90.000000,bottom
R119,19.1k / 0.1%,R_0402_1005Metric,5.150000,-88.150000,0.000000,bottom
U115,TPS259470ARPWR,TI_RPW0010A,14.500000,-90.000000,0.000000,bottom
Q110,DMN2056U-7,DMN2056U_SOT23_Diodes_Recommended,18.000000,-89.500000,180.000000,top
R101,5.23k 1%,R_0402_1005Metric,14.850000,-88.950000,0.000000,top
R115,10k / 0.1%,R_0402_1005Metric,21.400000,-83.300000,-90.000000,top
R118,100k / 0.1%,R_0402_1005Metric,10.750000,-91.950000,180.000000,top
R702,100k / 0.1%,R_0402_1005Metric,18.800000,-54.250000,90.000000,top
RN501,2x2k / 1:1 matched,Vishay_ACAS0606_AT_IEC,7.200000,-40.900000,0.000000,top
U101,BQ25895RTWR,TI_RTW24_4x4_ThermalVias_ServicePad,13.000000,-84.000000,0.000000,top
U110,TUSB320LAIRWBR,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,25.200000,-77.400000,0.000000,top
U111,PI3USB9201ZTAEX,PI3USB9201_UQFN2020_12_TypeC,26.450000,-74.050000,0.000000,top
U112,SN74AUP1G74DCUR,VSSOP-8_2.3x2mm_P0.5mm,25.200000,-80.500000,0.000000,top
U113,TPS3808G01DBVR,SOT-23-6,25.000000,-85.800000,0.000000,top
U114,TPS22950CQDDCRQ1,TI_DDC0006A,7.500000,-90.500000,180.000000,top
U201,TPS63020DSJR,TI_DSJ_14,13.000000,-61.000000,0.000000,top
U301,MAX17048G+,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,18.000000,-69.800000,0.000000,top
U302,LM66100DCKR,SOT-363_SC-70-6,12.000000,-51.500000,0.000000,top
U401,ADS122C04IPWR,TSSOP-16_4.4x5mm_P0.65mm,12.600000,-23.200000,-90.000000,top
U501,TPS7A2030PDBVR,SOT-23-5,4.000000,-45.700000,90.000000,top
U502,ADS122C04IPWR,TSSOP-16_4.4x5mm_P0.65mm,12.600000,-42.000000,0.000000,top
U701,TPS61023DRLR,SOT-563,19.500000,-56.300000,0.000000,top
U702,TPS7A2030PDBVR,SOT-23-5,19.000000,-45.400000,0.000000,top
U703,TXU0202DCUR,TI_DCU8_CompactSilk,13.000000,-46.100000,0.000000,top
U801,LTC2954CTS8-1,TSOT-23-8,13.600000,-55.000000,0.000000,top
