Reference,Value,Manufacturer,MPN,Quantity,Population_quantity,Category,Footprint,Side,PCB_X_mm,PCB_Y_mm,Rotation_deg,Assembly_note,Native_exclude_from_BOM,Native_exclude_from_CPL
C101,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,8.3,82.3,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C102,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,8.1,79.1,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C103,47n / 50V X7R / 10%,TDK,C1005X7R1H473K050BE,1,1,factory,C_TDK_C1005_Recommended,bottom,14.6,80.7,180.0,Factory reflow for true0402; recommendedTDK lands; supplierprocess qualification remains required; quoted factory SMT placement/reflow and joint inspection required,False,False
C104,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,19.6,75.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C105,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,8.199999,85.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C106,22u / 25V X5R / 20%,TDK,C3216X5R1E226M160AB,1,1,manual,C_1206_3216Metric,top,2.95,90.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C107,47u / 10V X5R / 20%,TDK,C2012X5R1A476M125AC,1,1,factory,C_TDK_C2012_Recommended,bottom,13.875,79.125,0.0,Factory reflow recommended for rear local REGN capacitor and manufacturer reflow lands; supplier process qualification remains open.; quoted factory SMT placement/reflow and joint inspection required,False,False
C108,4.7u / 16V X5R / 10%,TDK,C1608X5R1C475K080AC,1,1,manual,C_0603_1608Metric,top,16.9,83.1,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C110,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,22.7,77.4,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C111,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,29.025,73.1,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
