source,target,category,status,source_pad_uuid,target_pad_uuid,full_item_mV_per_A_20C_25um_1p6mm,barrel_transitions,F.Cu_length_mm,F.Cu_min_width_mm,In1.Cu_length_mm,In1.Cu_min_width_mm,In2.Cu_length_mm,In2.Cu_min_width_mm,B.Cu_length_mm,B.Cu_min_width_mm
J101.1,U115.5,source_trunk,explicit_native_witness,cae97a25-2fd1-4e4c-b318-bf4aae12096d,18f77668-f42a-431c-8eac-6448dd51c93e,24.664035612210988,1,0,,0,,6.143525096475049,0.4,2.8035533905932737,0.15
J101.1,C115.1,source_trunk,explicit_native_witness,cae97a25-2fd1-4e4c-b318-bf4aae12096d,db9c55e6-95a8-445e-8484-359e8085d702,18.402366020771666,1,0,,0,,6.143525096475049,0.4,0.725,0.4
U115.6,U114.2,source_trunk,explicit_native_witness,bf036b99-7480-40c7-ad08-6d6428c045dc,6df2cc59-8924-4e88-9a4a-abd0877e48cd,14.78691724155336,1,8.112741699796953,0.3,0,,0,,1.55,0.25
U115.6,C114.1,source_trunk,explicit_native_witness,bf036b99-7480-40c7-ad08-6d6428c045dc,afed1173-e276-4764-9d5e-438d39e5b645,20.425000689178333,2,10.162741699796952,0.3,0,,0,,3.200567888638631,0.25
U114.5,U101.1,source_trunk,explicit_native_witness,64f4a49e-9f15-42ef-9929-9681ef2f0f57,58ae7bd8-0fbe-404b-a946-e6d10e660577,41.37481230617922,2,1.361769203083567,0.4,0,,13.298853172682529,0.4,0,
U114.5,C101.1,source_trunk,explicit_native_witness,64f4a49e-9f15-42ef-9929-9681ef2f0f57,0a3764de-f53e-48ac-a73a-e613d815cffa,41.80584678893785,2,1.7117692030835672,0.4,0,,13.298853172682529,0.4,0,
U101.15,C105.1,source_trunk,explicit_native_witness,ddd81a26-3dea-4ce7-8569-ef86474ae68b,f0e3aa36-c2e5-49ed-affe-b7dc624fceab,57.55145449845993,2,2.0028556472353984,0.25,0,,18.471011937228635,0.4,0,
U101.16,C105.1,source_trunk,explicit_native_witness,42e78cc2-8246-4144-9c02-f607dcc4fad4,f0e3aa36-c2e5-49ed-affe-b7dc624fceab,58.53588862603472,2,2.502855647235398,0.25,0,,18.471011937228635,0.4,0,
C105.1,U201.10,source_trunk,explicit_native_witness,f0e3aa36-c2e5-49ed-affe-b7dc624fceab,c7363ddc-3458-45ad-8cb7-d3d466114dd5,113.89947511793092,5,20.487850492801687,0.2,0,,21.867072226067737,0.4,30.998988847172264,0.4
C105.1,U201.11,source_trunk,explicit_native_witness,f0e3aa36-c2e5-49ed-affe-b7dc624fceab,518a6c47-1299-484d-a3d8-e7cc0a69b71d,114.40959034252833,5,20.694957273988233,0.2,0,,21.867072226067737,0.4,30.998988847172264,0.4
U201.4,C204.1,source_trunk,explicit_native_witness,07e7bf85-5475-4b76-9d68-0a5d795f0a0b,6c139984-85d9-4b29-85f6-00bef48d5c9d,4.702855213717031,0,2.837436867076458,0.2,0,,0,,0,
U201.4,C205.1,source_trunk,explicit_native_witness,07e7bf85-5475-4b76-9d68-0a5d795f0a0b,6e3398fd-490b-449a-9887-87c33f75d000,6.479702504357425,0,5.723036867076458,0.2,0,,0,,0,
U201.4,C206.1,source_trunk,explicit_native_witness,07e7bf85-5475-4b76-9d68-0a5d795f0a0b,a3621972-4b4b-4f58-8b7e-f3eb0ad3d6e5,7.672436494505208,0,7.6600368670764585,0.2,0,,0,,0,
U201.5,C204.1,source_trunk,explicit_native_witness,21c9aaf5-d091-4b11-8af2-247a0c6e4783,6c139984-85d9-4b29-85f6-00bef48d5c9d,3.4713281201209725,0,2.337436867076458,0.2,0,,0,,0,
U201.5,C205.1,source_trunk,explicit_native_witness,21c9aaf5-d091-4b11-8af2-247a0c6e4783,6e3398fd-490b-449a-9887-87c33f75d000,5.248175410761367,0,5.223036867076458,0.2,0,,0,,0,
U201.5,C206.1,source_trunk,explicit_native_witness,21c9aaf5-d091-4b11-8af2-247a0c6e4783,a3621972-4b4b-4f58-8b7e-f3eb0ad3d6e5,6.44090940090915,0,7.1600368670764585,0.2,0,,0,,0,
C204.1,U302.1,source_trunk,explicit_native_witness,6c139984-85d9-4b29-85f6-00bef48d5c9d,213fcdc6-5cfa-409a-89de-781baceec66f,28.646224706413683,2,2.3578743197130887,0.3,0,,0,,19.85080632539031,0.4
C205.1,U302.1,source_trunk,explicit_native_witness,6e3398fd-490b-449a-9887-87c33f75d000,213fcdc6-5cfa-409a-89de-781baceec66f,30.42307199705408,2,5.243474319713089,0.3,0,,0,,19.85080632539031,0.4
C206.1,U302.1,source_trunk,explicit_native_witness,a3621972-4b4b-4f58-8b7e-f3eb0ad3d6e5,213fcdc6-5cfa-409a-89de-781baceec66f,31.61580598720186,2,7.180474319713089,0.3,0,,0,,19.85080632539031,0.4
U302.3,J301.2,source_trunk,explicit_native_witness,2bba4702-3d6a-4a07-a162-cdcbbd365458,e27b9fcd-024c-4220-8030-a2e7f97b8523,33.58556987488165,2,3.4525,0.3,0,,0,,22.36433612624345,0.4
U302.3,J301.4,source_trunk,explicit_native_witness,2bba4702-3d6a-4a07-a162-cdcbbd365458,8a5efc2c-05eb-4703-a3ae-db2fc5c529aa,30.121377664708085,1,0.9125,0.3,0,,0,,22.36433612624345,0.4
C204.1,U701.2,VOUT_branch,explicit_native_witness,6c139984-85d9-4b29-85f6-00bef48d5c9d,90bdecf9-a345-4663-8656-659249a60149,42.642637495067575,2,9.075227301664048,0.2,0,,0,,21.915207194492975,0.4
C204.1,U501.1,VOUT_branch,explicit_native_witness,6c139984-85d9-4b29-85f6-00bef48d5c9d,5e5d2f6e-a209-4abc-bf8a-5f6da3e25166,36.599474901933434,2,2.779353914131844,0.4,0,,0,,26.141532556400257,0.4
C204.1,U702.1,VOUT_branch,explicit_native_witness,6c139984-85d9-4b29-85f6-00bef48d5c9d,643f6dd0-29b9-4f0c-b49c-8028a5c34c86,42.26820918063337,2,11.608691510343474,0.4,0,,0,,21.915207194492975,0.4
J102.1,U101.13,battery_trunk,explicit_native_witness,afda91a5-25fe-4cd7-a44a-d0d56010ec87,a3ff2736-be99-47e5-a804-d4d64f8e6c56,26.259552348709104,2,13.66869941742053,0.35,0,,0,,5.296300502455422,0.4
J102.1,U101.14,battery_trunk,explicit_native_witness,afda91a5-25fe-4cd7-a44a-d0d56010ec87,bc883292-9a95-49e0-9efe-6199d8a8d5d3,27.243986476283894,2,14.16869941742053,0.2502,0,,0,,5.296300502455422,0.4
