layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,267,73,0,0.0,296.812
2,0.4,86,73,0,0.0,301.625
3,0.6,86,73,0,0.0,302.5
4,0.8,13,0,0,0.0,50.625
5,1.0,840,0,0,0.0,387.688
6,1.2,814,0,0,0.0,457.062
7,1.4,832,0,0,0.0,456.562
8,1.6,814,0,0,0.0,457.062
9,1.8,834,0,0,0.0,456.625
10,2.0,973,0,0,0.0,440.062
11,2.2,814,0,0,0.0,431.5
12,2.4,794,0,0,0.0,431.812
13,2.6,814,0,0,0.0,431.25
14,2.8,225,0,0,0.0,432.375
15,3.0,25,0,0,0.0,30.062
16,3.2,36,11,0,0.0,37.375
17,3.4,25,0,0,0.0,30.062
18,3.46667,9,9,0,0.0,6.438
19,3.6,25,0,0,0.0,30.062
20,3.73333,11,11,0,0.0,6.5
21,3.8,25,0,0,0.0,30.062
22,4.0,29,4,0,0.0,36.312
23,4.2,25,0,0,0.0,30.062
24,4.26667,4,4,0,0.0,6.25
25,4.4,25,0,0,0.0,30.062
26,4.53333,4,4,0,0.0,6.25
27,4.6,25,0,0,0.0,30.062
28,4.8,40,15,0,0.0,37.062
29,5.0,25,0,0,0.0,30.062
30,5.06667,9,9,0,0.0,6.438
31,5.2,25,0,0,0.0,30.062
32,5.33333,11,11,0,0.0,6.5
33,5.4,25,0,0,0.0,30.062
34,5.6,34,9,0,0.0,36.438
35,5.8,25,0,0,0.0,30.062
36,6.0,71,0,0,0.0,40.25
37,6.2,20,0,0,0.0,41.75
38,6.4,20,0,0,0.0,41.75
39,6.6,20,0,0,0.0,41.75
40,6.8,20,0,0,0.0,41.75
41,7.0,20,0,0,0.0,41.75
42,7.2,20,0,0,0.0,41.75
43,7.4,20,0,0,0.0,41.75
44,7.6,20,0,0,0.0,41.75
45,7.8,20,0,0,0.0,41.75
46,8.0,20,0,0,0.0,41.75
47,8.2,20,0,0,0.0,41.75
48,8.4,20,0,0,0.0,41.75
49,8.6,28,0,0,0.0,41.125
50,8.8,9,0,0,0.0,21.0
51,9.0,9,0,0,0.0,20.938
52,9.2,23,0,0,0.0,20.875
