layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,4757,742,0,0.0,8556.25
2,0.4,3575,0,0,0.0,7026.25
3,0.46,261,261,0,0.0,374.25
4,0.6,3566,0,0,0.0,7026.062
5,0.72,262,262,0,0.0,371.938
6,0.8,3577,0,0,0.0,7026.25
7,0.98,260,260,0,0.0,374.25
8,1.0,3565,0,0,0.0,7031.125
9,1.2,15357,0,0,0.0,2971.938
10,1.24,260,260,0,0.0,371.625
11,1.4,15239,0,0,0.0,3024.562
12,1.5,262,262,0,0.0,371.562
13,1.6,5815,0,0,0.0,4569.125
14,1.76,262,262,0,0.0,371.75
15,1.8,5198,0,0,0.0,6196.062
16,2.0,5171,0,0,0.0,6181.5
17,2.02,261,261,0,0.0,374.188
18,2.2,5816,0,0,0.0,6217.562
19,2.28,260,260,0,0.0,371.938
20,2.4,5219,0,0,0.0,6166.5
21,2.54,260,260,0,0.0,374.25
22,2.6,4851,0,0,0.0,2350.75
23,2.8,5703,396,0,0.0,2855.25
24,3.0,5698,0,0,0.0,2400.312
25,3.07805,405,405,0,0.0,460.312
26,3.2,4961,0,0,0.0,2264.125
27,3.3561,413,413,0,0.0,461.062
28,3.4,5110,0,0,0.0,2209.25
29,3.6,6074,0,0,0.0,2220.312
30,3.63415,532,532,0,0.0,423.625
31,3.8,5675,0,0,0.0,2216.562
32,3.9122,528,528,0,0.0,423.438
33,4.0,5612,0,0,0.0,2220.562
34,4.19024,533,533,0,0.0,423.688
35,4.2,6007,0,0,0.0,2221.375
36,4.4,4957,0,0,0.0,2202.812
37,4.46829,531,531,0,0.0,423.5
38,4.6,6296,0,0,0.0,2234.25
39,4.74634,553,553,0,0.0,423.625
40,4.8,5554,0,0,0.0,2180.5
41,5.0,5803,0,0,0.0,2176.938
42,5.02439,531,531,0,0.0,423.375
43,5.2,5016,0,0,0.0,2161.438
44,5.30244,531,531,0,0.0,423.562
45,5.4,5542,0,0,0.0,2175.188
46,5.58049,533,533,0,0.0,423.75
47,5.6,5818,0,0,0.0,2188.5
48,5.8,5216,0,0,0.0,2189.312
49,5.85854,538,538,0,0.0,423.375
50,6.0,4864,0,0,0.0,2218.375
51,6.13659,542,542,0,0.0,423.625
52,6.2,6008,0,0,0.0,2238.75
53,6.4,5780,0,0,0.0,2219.562
54,6.41463,528,528,0,0.0,423.438
55,6.6,5608,0,0,0.0,2218.75
56,6.69268,531,531,0,0.0,423.438
57,6.8,6095,0,0,0.0,2220.438
58,6.97073,532,532,0,0.0,423.5
59,7.0,5081,0,0,0.0,2201.938
60,7.2,6875,0,0,0.0,2254.312
61,7.24878,545,545,0,0.0,423.688
62,7.4,5370,0,0,0.0,2194.188
63,7.52683,531,531,0,0.0,423.625
64,7.6,5748,0,0,0.0,2195.875
65,7.8,5012,0,0,0.0,2178.688
66,7.80488,531,531,0,0.0,423.438
67,8.0,5453,0,0,0.0,2170.375
68,8.08293,534,534,0,0.0,423.562
69,8.2,5850,0,0,0.0,2185.562
70,8.36098,531,531,0,0.0,423.438
71,8.4,5290,0,0,0.0,2201.5
72,8.6,4918,0,0,0.0,2208.688
73,8.63902,522,522,0,0.0,423.25
74,8.8,6173,0,0,0.0,2230.625
75,8.91707,524,524,0,0.0,423.5
76,9.0,5798,0,0,0.0,2215.688
77,9.19512,537,537,0,0.0,423.562
78,9.2,5586,0,0,0.0,2219.188
79,9.4,5922,0,0,0.0,2215.25
80,9.47317,524,524,0,0.0,423.5
81,9.6,5008,0,0,0.0,2205.375
82,9.75122,526,526,0,0.0,423.625
83,9.8,6402,0,0,0.0,2248.562
84,10.0,5522,0,0,0.0,2187.25
85,10.0293,531,531,0,0.0,423.438
86,10.2,5715,0,0,0.0,2174.688
87,10.3073,530,530,0,0.0,423.5
88,10.4,5010,0,0,0.0,2158.688
89,10.5854,554,554,0,0.0,423.438
90,10.6,5080,0,0,0.0,2158.75
91,10.8,5719,0,0,0.0,2179.25
92,10.8634,527,527,0,0.0,423.5
93,11.0,5356,0,0,0.0,2188.0
94,11.1415,528,528,0,0.0,423.438
95,11.2,4688,0,0,0.0,2223.812
96,11.4,5706,0,0,0.0,2244.125
97,11.4195,527,527,0,0.0,423.5
98,11.6,5916,0,0,0.0,2213.688
99,11.6976,530,530,0,0.0,423.688
100,11.8,5572,0,0,0.0,2212.688
101,11.9756,530,530,0,0.0,423.375
102,12.0,6004,0,0,0.0,2214.0
103,12.2,5693,0,0,0.0,2209.5
104,12.2537,525,525,0,0.0,423.5
105,12.4,4683,0,0,0.0,2203.062
106,12.5317,550,550,0,0.0,423.375
107,12.6,5313,0,0,0.0,2199.312
108,12.8,5736,0,0,0.0,2200.375
109,12.8098,525,525,0,0.0,423.375
110,13.0,5123,0,0,0.0,2178.438
111,13.0878,524,524,0,0.0,423.625
112,13.2,5030,0,0,0.0,2159.25
113,13.3659,1011,1011,0,0.0,713.0
114,13.4,5715,0,0,0.0,2181.375
115,13.6,5087,0,0,0.0,2357.75
116,13.6439,807,807,0,0.0,706.125
117,13.8,3673,0,0,0.0,2889.125
118,13.922,828,828,0,0.0,703.875
119,14.0,3676,0,0,0.0,3013.188
120,14.2,4284,736,0,0.0,3698.688
121,14.4,3668,0,0,0.0,2933.188
122,14.4667,392,392,0,0.0,177.875
123,14.6,4166,0,0,0.0,3705.25
124,14.7333,376,376,0,0.0,177.875
125,14.8,3892,0,0,0.0,2457.625
126,15.0,4418,544,0,0.0,2727.938
127,15.2,3950,0,0,0.0,2453.688
128,15.2571,499,499,0,0.0,269.312
129,15.4,3975,0,0,0.0,2450.5
130,15.5143,480,480,0,0.0,270.0
131,15.6,4515,0,0,0.0,2373.75
132,15.7714,437,437,0,0.0,210.875
133,15.8,4077,0,0,0.0,2403.625
134,16.0,4062,0,0,0.0,2389.875
135,16.0286,497,497,0,0.0,398.875
136,16.2,4045,0,0,0.0,2394.688
137,16.2857,492,492,0,0.0,398.062
138,16.4,4012,0,0,0.0,2398.5
139,16.5429,496,496,0,0.0,397.312
140,16.6,4137,0,0,0.0,2454.188
141,16.8,4426,493,0,0.0,2420.625
142,17.0,3829,0,0,0.0,2021.625
143,17.04,421,421,0,0.0,85.375
144,17.2,4123,0,0,0.0,2474.625
145,17.28,416,416,0,0.0,85.25
146,17.4,4090,0,0,0.0,2534.188
147,17.52,416,416,0,0.0,85.188
148,17.6,3980,0,0,0.0,2532.312
149,17.76,416,416,0,0.0,85.188
150,17.8,3947,0,0,0.0,2615.188
151,18.0,4432,451,0,0.0,2701.812
152,18.2,4391,443,0,0.0,2700.25
153,18.4,4318,436,0,0.0,2698.312
154,18.6,3590,462,0,0.0,2695.812
155,18.8,2576,448,0,0.0,2273.625
156,19.0,2634,514,0,0.0,2297.5
157,19.2,1778,0,0,0.0,1598.625
158,19.2667,528,528,0,0.0,124.0
159,19.4,1806,0,0,0.0,1598.438
160,19.5333,533,533,0,0.0,124.562
161,19.6,1682,0,0,0.0,1594.125
162,19.8,2216,545,0,0.0,1696.875
163,20.0,1788,0,0,0.0,1594.812
164,20.0667,548,548,0,0.0,105.062
165,20.2,1751,0,0,0.0,1592.062
166,20.3333,546,546,0,0.0,105.188
167,20.4,1842,0,0,0.0,1587.938
168,20.6,2420,546,0,0.0,1691.5
169,20.8,1849,0,0,0.0,1584.25
170,20.8667,551,551,0,0.0,105.25
171,21.0,1771,0,0,0.0,1583.25
172,21.1333,544,544,0,0.0,105.188
173,21.2,1830,0,0,0.0,1583.062
174,21.4,2376,551,0,0.0,1689.625
175,21.6,1860,0,0,0.0,1588.875
176,21.6667,551,551,0,0.0,105.25
177,21.8,1686,0,0,0.0,1584.75
178,21.9333,553,553,0,0.0,105.125
179,22.0,1729,0,0,0.0,1555.125
180,22.2,2184,570,0,0.0,1682.875
181,22.4,2184,574,0,0.0,1677.125
182,22.6,1708,0,0,0.0,1555.5
183,22.6727,572,572,0,0.0,126.938
184,22.8,1662,0,0,0.0,1555.062
185,22.9455,552,552,0,0.0,123.562
186,23.0,1781,0,0,0.0,1554.0
187,23.2,1846,0,0,0.0,1552.188
188,23.2182,558,558,0,0.0,123.625
189,23.4,1849,0,0,0.0,1553.0
190,23.4909,554,554,0,0.0,123.75
191,23.6,1777,0,0,0.0,1551.812
192,23.7636,559,559,0,0.0,123.812
193,23.8,1849,0,0,0.0,1554.062
194,24.0,1865,0,0,0.0,1557.812
195,24.0364,559,559,0,0.0,123.875
196,24.2,1817,0,0,0.0,1558.25
197,24.3091,557,557,0,0.0,123.875
198,24.4,1732,0,0,0.0,1559.75
199,24.5818,558,558,0,0.0,123.625
200,24.6,1766,0,0,0.0,1561.875
201,24.8,1680,0,0,0.0,1562.688
202,24.8545,554,554,0,0.0,123.312
203,25.0,1663,0,0,0.0,1562.938
204,25.1273,538,538,0,0.0,124.938
205,25.2,1796,0,0,0.0,1562.562
206,25.4,2326,548,0,0.0,1686.125
207,25.6,2417,540,0,0.0,1687.375
208,25.8,2491,571,0,0.0,1689.438
209,26.0,2444,537,0,0.0,1684.688
210,26.2,2379,537,0,0.0,1683.75
211,26.4,2500,508,0,0.0,1683.25
212,26.6,1996,0,0,0.0,1576.688
213,26.65,537,537,0,0.0,121.438
214,26.8,1763,0,0,0.0,1577.875
215,26.9,533,533,0,0.0,117.688
216,27.0,1664,0,0,0.0,1579.0
217,27.15,518,518,0,0.0,117.562
218,27.2,1707,0,0,0.0,1581.438
219,27.4,2112,514,0,0.0,1700.188
220,27.6,1594,0,0,0.0,1581.812
