layer,z_mm,segments,support_segments,island_candidates_ge_0_25mm2,largest_island_candidate_mm2,occupied_raster_area_mm2
1,0.2,2319,69,0,0.0,1842.688
2,0.4,1765,0,0,0.0,1861.75
3,0.475,12,12,0,0.0,23.438
4,0.6,1791,0,0,0.0,1856.812
5,0.75,12,12,0,0.0,23.438
6,0.8,1765,0,0,0.0,1861.75
7,1.0,1791,0,0,0.0,1856.812
8,1.025,12,12,0,0.0,23.438
9,1.2,1806,0,0,0.0,1862.562
10,1.3,12,12,0,0.0,23.438
11,1.4,1806,0,0,0.0,1856.75
12,1.575,12,12,0,0.0,23.438
13,1.6,1805,0,0,0.0,1862.438
14,1.8,1806,0,0,0.0,1856.75
15,1.85,12,12,0,0.0,23.438
16,2.0,754,0,0,0.0,1886.812
17,2.125,12,12,0,0.0,23.438
18,2.2,18,0,0,0.0,35.625
19,2.4,35,17,0,0.0,61.812
20,2.6,18,0,0,0.0,35.625
21,2.65,48,48,0,0.0,49.625
22,2.8,18,0,0,0.0,35.625
23,2.9,25,25,0,0.0,48.062
24,3.0,18,0,0,0.0,35.625
25,3.15,27,27,0,0.0,48.25
26,3.2,18,0,0,0.0,35.625
27,3.4,43,25,0,0.0,83.688
28,3.6,18,0,0,0.0,35.625
29,3.8,180,0,0,0.0,107.562
30,4.0,71,0,0,0.0,120.562
31,4.2,69,0,0,0.0,120.375
32,4.4,71,0,0,0.0,120.562
33,4.6,69,0,0,0.0,120.375
34,4.8,71,0,0,0.0,120.562
35,5.0,69,0,0,0.0,120.375
36,5.2,71,0,0,0.0,120.562
37,5.4,41,0,0,0.0,120.375
